,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
33,柳田百織,富士通カワサキレッドスピリッツ,8,8,85.0,38.0,10.0,44.7,4.75,22.0,11.0,3.0,50.0,5.0,0.62,28.0,3.0,4.0,7.0,13.4,2.0,1.0,1.0,75.0,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,46.0,32.9,36.4
34,森崎健史,VC長野トライデンツ,32,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,0.0,,
35,椿芽久,VC長野トライデンツ,26,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,0.0,,
36,樋内竜也,富士通カワサキレッドスピリッツ,4,8,64.0,18.0,7.0,28.1,2.25,11.0,5.0,1.0,45.5,3.0,0.38,31.0,2.0,7.0,9.0,8.1,54.0,15.0,6.0,33.3,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,23.0,17.2,36.4
37,樫村大仁,ヴォレアス北海道,30,9,17.0,8.0,0.0,47.1,0.89,0.0,0.0,0.0,,4.0,0.44,28.0,0.0,0.0,8.0,7.1,2.0,1.0,1.0,75.0,1808,1580.0,5.0,1.0,42.0,42.0,46.0,41.0,45.0,48.0,50.0,39.0,15.0,10.0,198.0,180.0,45,46,51,48,17.0,6,3,0.0,9.0,12.0,47.1,
38,永尾敏明,大分三好ヴァイセアドラー,40,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,-25.0,0.0,0.0,0.0,,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,0.0,,
39,江藤巧,富士通カワサキレッドスピリッツ,18,7,3.0,1.0,0.0,33.3,0.14,0.0,0.0,0.0,,3.0,0.43,24.0,0.0,2.0,5.0,3.1,0.0,0.0,0.0,,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,4.0,33.3,
40,池田幸太,VC長野トライデンツ,18,8,68.0,28.0,3.0,41.2,3.5,13.0,8.0,1.0,61.5,3.0,0.38,26.0,1.0,4.0,9.0,8.7,20.0,6.0,5.0,42.5,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,32.0,36.8,53.8
41,池田颯太,VC長野トライデンツ,6,8,18.0,7.0,1.0,38.9,0.88,10.0,3.0,1.0,30.0,0.0,0.0,17.0,0.0,1.0,6.0,7.4,0.0,0.0,0.0,,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,7.0,33.3,20.0
42,波佐間泰平,VC長野トライデンツ,30,8,19.0,8.0,2.0,42.1,1.0,0.0,0.0,0.0,,10.0,1.25,30.0,1.0,1.0,8.0,9.2,5.0,1.0,1.0,30.0,1806,1327.0,6.0,0.0,45.0,50.0,58.0,50.0,51.0,43.0,50.0,31.0,0.0,0.0,204.0,174.0,53,61,53,44,0.0,6,2,8.0,0.0,19.0,31.6,
43,浅野卓雅,富士通カワサキレッドスピリッツ,22,1,4.0,2.0,0.0,50.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,1.0,12.5,8.0,2.0,1.0,31.2,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,2.0,50.0,
44,熊谷周,大分三好ヴァイセアドラー,38,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1808,1580.0,1.0,5.0,42.0,42.0,41.0,46.0,48.0,45.0,39.0,50.0,10.0,15.0,180.0,198.0,45,46,51,48,17.0,3,6,9.0,0.0,0.0,,
45,田中友貴,富士通カワサキレッドスピリッツ,46,8,10.0,3.0,0.0,30.0,0.38,0.0,0.0,0.0,,2.0,0.25,19.0,0.0,3.0,0.0,-3.9,3.0,2.0,0.0,66.7,1806,1327.0,0.0,6.0,50.0,45.0,50.0,58.0,43.0,51.0,31.0,50.0,0.0,0.0,174.0,204.0,53,61,53,44,0.0,2,6,0.0,8.0,5.0,30.0,
