,Player,Team,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,Point,AEff%,BAEff%
388,永尾敏明,大分三好ヴァイセアドラー,12,40,3,0,0,0,,0.0,0,0,0,,0,0.0,1,0,0,0,0.0,3,0,1,16.7,329,1588,0,,
389,永野健,パナソニックパンサーズ,1,102,7,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,36,21,6,66.7,1101,9966,0,,
390,永野健,パナソニックパンサーズ,10,68,15,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,62,28,18,59.7,442,6906,0,,
391,永野健,パナソニックパンサーズ,11,136,10,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,45,20,13,58.9,1118,14280,0,,
392,永野健,パナソニックパンサーズ,12,34,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,327,3348,0,,
393,永露元稀,ウルフドッグス名古屋,1,126,19,9,5,0,55.6,0.26,0,0,0,,5,0.26,70,1,3,15,5.7,1,0,0,0.0,1091,7781,11,55.6,
394,永露元稀,ウルフドッグス名古屋,10,84,13,9,4,0,44.4,0.31,0,0,0,,2,0.15,46,0,6,8,1.1,2,0,0,0.0,434,12823,6,44.4,
395,永露元稀,ウルフドッグス名古屋,11,168,25,18,15,0,83.3,0.6,0,0,0,,6,0.24,113,0,2,20,4.0,5,1,0,20.0,1108,9563,21,83.3,
396,永露元稀,ウルフドッグス名古屋,12,42,10,5,2,1,40.0,0.2,0,0,0,,5,0.5,28,0,2,5,2.7,1,0,0,0.0,327,3348,7,20.0,
397,江川,JTサンダーズ広島,1,114,21,154,90,7,58.4,4.29,54,27,4,50.0,3,0.14,83,9,20,25,12.3,2,1,1,75.0,1109,11569,102,53.9,42.6
398,江川,JTサンダーズ広島,10,76,12,87,50,11,57.5,4.17,33,20,4,60.6,11,0.92,45,4,10,11,9.4,0,0,0,,450,5270,65,44.8,48.5
399,江川,JTサンダーズ広島,11,152,31,294,134,29,45.6,4.32,111,55,13,49.5,8,0.26,110,8,37,32,6.1,1,0,0,0.0,1125,8766,150,35.7,37.8
400,江川,JTサンダーズ広島,12,38,8,87,47,7,54.0,5.88,43,23,5,53.5,2,0.25,31,2,7,16,13.7,0,0,0,,323,3297,51,46.0,41.9
401,池田幸太,VC長野トライデンツ,1,54,20,135,61,8,45.2,3.05,23,11,1,47.8,4,0.2,71,1,2,22,8.5,122,50,21,49.6,1099,5847,66,39.3,43.5
402,池田幸太,VC長野トライデンツ,10,36,12,70,29,3,41.4,2.42,13,4,1,30.8,1,0.08,43,4,9,5,7.0,57,15,16,40.4,444,4990,34,37.1,23.1
403,池田幸太,VC長野トライデンツ,11,72,29,176,73,20,41.5,2.52,34,17,4,50.0,6,0.21,97,3,15,18,3.9,228,89,55,51.1,1107,7913,82,30.1,38.2
404,池田幸太,VC長野トライデンツ,12,18,6,35,16,1,45.7,2.67,3,0,1,0.0,1,0.17,17,0,3,4,1.5,39,20,6,59.0,331,2450,17,42.9,-33.3
405,池田颯太,VC長野トライデンツ,1,18,16,66,36,3,54.5,2.25,29,17,1,58.6,0,0.0,42,1,7,12,5.4,0,0,0,,1099,5847,37,50.0,55.2
406,池田颯太,VC長野トライデンツ,10,12,3,0,0,0,,0.0,0,0,0,,0,0.0,3,0,0,0,0.0,0,0,0,,444,4990,0,,
407,池田颯太,VC長野トライデンツ,11,24,12,0,0,0,,0.0,0,0,0,,0,0.0,18,0,1,4,4.2,0,0,0,,1107,7913,0,,
408,池田颯太,VC長野トライデンツ,12,6,1,0,0,0,,0.0,0,0,0,,0,0.0,1,0,1,0,-25.0,0,0,0,,331,2450,0,,
409,河東祐大,ジェイテクトSTINGS,1,36,1,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,1109,9098,0,,
