Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,TotalSet
近畿クラブスフィーダ,1,0,19,25,28,19,,91.0,144.0,59.0,15.0,41.0,14.75,12.0,4.0,3.0,33.3,9.0,2.25,92.0,3.0,12.0,16.0,4.3,86.0,47.0,17.0,64.5,6.0,20,トヨタモビリティ東京スパークル,3,3,25,16,30,25,,96.0,137,47,8,34.3,11.75,16,6,2,37.5,12,3.00,95,4,8,19,7.1,79,36.0,25.0,61.4,4.0,33,770,2022-11-06,福岡県,久留米総合スポーツセンター,100.0,14:00,15:39,1:39,塚本健,秋峯育子,佐々木誠一,渋田恵,4
トヨタモビリティ東京スパークル,3,3,25,16,30,25,,96.0,137.0,47.0,8.0,34.3,11.75,16.0,6.0,2.0,37.5,12.0,3.0,95.0,4.0,8.0,19.0,7.1,79.0,36.0,25.0,61.4,4.0,33,近畿クラブスフィーダ,1,0,19,25,28,19,,91.0,144,59,15,41.0,14.75,12,4,3,33.3,9,2.25,92,3,12,16,4.3,86,47.0,17.0,64.5,6.0,20,770,2022-11-06,福岡県,久留米総合スポーツセンター,100.0,14:00,15:39,1:39,塚本健,秋峯育子,佐々木誠一,渋田恵,4
警視庁フォートファイターズ,3,3,25,25,25,,,75.0,85.0,45.0,11.0,52.9,15.0,13.0,7.0,3.0,53.8,4.0,1.33,73.0,5.0,13.0,13.0,6.8,50.0,35.0,6.0,76.0,3.0,21,トヨタモビリティ東京スパークル,0,0,21,18,22,,,61.0,78,27,8,34.6,9.00,10,2,3,20.0,3,1.00,63,4,12,6,4.0,59,28.0,14.0,59.3,1.0,27,771,2022-11-12,千葉県,千葉公園スポーツ施設体育館,60.0,10:30,11:49,1:19,阿部広太郎,梅北将大,筒木光,坂本憲昭,3
トヨタモビリティ東京スパークル,0,0,21,18,22,,,61.0,78.0,27.0,8.0,34.6,9.0,10.0,2.0,3.0,20.0,3.0,1.0,63.0,4.0,12.0,6.0,4.0,59.0,28.0,14.0,59.3,1.0,27,警視庁フォートファイターズ,3,3,25,25,25,,,75.0,85,45,11,52.9,15.00,13,7,3,53.8,4,1.33,73,5,13,13,6.8,50,35.0,6.0,76.0,3.0,21,771,2022-11-12,千葉県,千葉公園スポーツ施設体育館,60.0,10:30,11:49,1:19,阿部広太郎,梅北将大,筒木光,坂本憲昭,3
千葉ZELVA,2,1,26,17,14,28,11,96.0,132.0,67.0,15.0,50.8,13.4,18.0,11.0,1.0,61.1,7.0,1.4,96.0,3.0,18.0,10.0,1.0,105.0,61.0,27.0,71.0,8.0,19,トヨタ自動車サンホークス,3,2,24,25,25,26,15,115.0,114,56,7,49.1,11.20,9,4,1,44.4,16,3.20,115,2,9,16,3.3,76,43.0,22.0,71.1,3.0,41,772,2022-11-12,千葉県,千葉公園スポーツ施設体育館,166.0,13:00,15:03,2:03,冨田満,小田川倫之,矢田義明,坂本憲昭,5
トヨタ自動車サンホークス,3,2,24,25,25,26,15,115.0,114.0,56.0,7.0,49.1,11.2,9.0,4.0,1.0,44.4,16.0,3.2,115.0,2.0,9.0,16.0,3.3,76.0,43.0,22.0,71.1,3.0,41,千葉ZELVA,2,1,26,17,14,28,11,96.0,132,67,15,50.8,13.40,18,11,1,61.1,7,1.40,96,3,18,10,1.0,105,61.0,27.0,71.0,8.0,19,772,2022-11-12,千葉県,千葉公園スポーツ施設体育館,166.0,13:00,15:03,2:03,冨田満,小田川倫之,矢田義明,坂本憲昭,5
東京ヴェルディ,2,1,24,15,25,25,14,103.0,119.0,53.0,9.0,44.5,10.6,28.0,13.0,7.0,46.4,12.0,2.4,104.0,5.0,12.0,22.0,7.2,84.0,38.0,27.0,61.3,8.0,33,近畿クラブスフィーダ,3,2,26,25,20,20,16,107.0,134,63,11,47.0,12.60,15,6,3,40.0,10,2.00,106,5,18,18,4.7,90,47.0,18.0,62.2,4.0,29,773,2022-11-12,千葉県,千葉公園スポーツ施設体育館,66.0,16:00,18:04,2:04,阿部広太郎,笈川博彰,中山智之,坂本憲昭,5
近畿クラブスフィーダ,3,2,26,25,20,20,16,107.0,134.0,63.0,11.0,47.0,12.6,15.0,6.0,3.0,40.0,10.0,2.0,106.0,5.0,18.0,18.0,4.7,90.0,47.0,18.0,62.2,4.0,29,東京ヴェルディ,2,1,24,15,25,25,14,103.0,119,53,9,44.5,10.60,28,13,7,46.4,12,2.40,104,5,12,22,7.2,84,38.0,27.0,61.3,8.0,33,773,2022-11-12,千葉県,千葉公園スポーツ施設体育館,66.0,16:00,18:04,2:04,阿部広太郎,笈川博彰,中山智之,坂本憲昭,5
近畿クラブスフィーダ,0,0,18,18,22,,,58.0,85.0,39.0,10.0,45.9,13.0,7.0,1.0,1.0,14.3,6.0,2.0,60.0,3.0,11.0,8.0,3.8,66.0,28.0,15.0,53.8,0.0,10,長野GaRons,3,3,25,25,25,,,75.0,66,41,3,62.1,13.67,14,9,2,64.3,9,3.00,73,4,6,20,10.3,48,25.0,13.0,65.6,1.0,21,774,2022-11-13,千葉県,千葉公園スポーツ施設体育館,72.0,10:30,11:44,1:14,富田満,小田川倫之,筒木光,坂本憲昭,3
長野GaRons,3,3,25,25,25,,,75.0,66.0,41.0,3.0,62.1,13.67,14.0,9.0,2.0,64.3,9.0,3.0,73.0,4.0,6.0,20.0,10.3,48.0,25.0,13.0,65.6,1.0,21,近畿クラブスフィーダ,0,0,18,18,22,,,58.0,85,39,10,45.9,13.00,7,1,1,14.3,6,2.00,60,3,11,8,3.8,66,28.0,15.0,53.8,0.0,10,774,2022-11-13,千葉県,千葉公園スポーツ施設体育館,72.0,10:30,11:44,1:14,富田満,小田川倫之,筒木光,坂本憲昭,3
千葉ZELVA,0,0,23,15,22,,,60.0,73.0,28.0,12.0,38.4,9.33,10.0,2.0,2.0,20.0,3.0,1.0,62.0,2.0,10.0,8.0,2.4,58.0,26.0,20.0,62.1,4.0,27,警視庁フォートファイターズ,3,3,25,25,25,,,75.0,76,39,12,51.3,13.00,16,9,1,56.2,4,1.33,73,6,13,8,6.5,51,28.0,14.0,68.6,2.0,26,775,2022-11-13,千葉県,千葉公園スポーツ施設体育館,280.0,13:00,14:23,1:23,阿部広太郎,梅北将大,赤塚拳斗,坂本憲昭,3
警視庁フォートファイターズ,3,3,25,25,25,,,75.0,76.0,39.0,12.0,51.3,13.0,16.0,9.0,1.0,56.2,4.0,1.33,73.0,6.0,13.0,8.0,6.5,51.0,28.0,14.0,68.6,2.0,26,千葉ZELVA,0,0,23,15,22,,,60.0,73,28,12,38.4,9.33,10,2,2,20.0,3,1.00,62,2,10,8,2.4,58,26.0,20.0,62.1,4.0,27,775,2022-11-13,千葉県,千葉公園スポーツ施設体育館,280.0,13:00,14:23,1:23,阿部広太郎,梅北将大,赤塚拳斗,坂本憲昭,3
奈良ドリーマーズ,3,3,25,25,25,,,75.0,75.0,43.0,11.0,57.3,14.33,14.0,7.0,3.0,50.0,8.0,2.67,73.0,7.0,12.0,13.0,9.9,45.0,25.0,14.0,71.1,1.0,17,東京ヴェルディ,0,0,19,18,15,,,52.0,61,23,5,37.7,7.67,13,4,1,30.8,4,1.33,54,1,9,5,0.0,59,17.0,24.0,49.2,3.0,24,776,2022-11-13,千葉県,千葉公園スポーツ施設体育館,85.0,15:30,16:38,1:08,富田満,笈川博彰,矢田義明,坂本憲昭,3
東京ヴェルディ,0,0,19,18,15,,,52.0,61.0,23.0,5.0,37.7,7.67,13.0,4.0,1.0,30.8,4.0,1.33,54.0,1.0,9.0,5.0,0.0,59.0,17.0,24.0,49.2,3.0,24,奈良ドリーマーズ,3,3,25,25,25,,,75.0,75,43,11,57.3,14.33,14,7,3,50.0,8,2.67,73,7,12,13,9.9,45,25.0,14.0,71.1,1.0,17,776,2022-11-13,千葉県,千葉公園スポーツ施設体育館,85.0,15:30,16:38,1:08,富田満,笈川博彰,矢田義明,坂本憲昭,3
長野GaRons,1,0,20,22,25,17,,84.0,131.0,51.0,7.0,38.9,12.75,30.0,15.0,0.0,50.0,7.0,1.75,85.0,1.0,13.0,12.0,0.9,82.0,36.0,21.0,56.7,4.0,25,トヨタ自動車サンホークス,3,3,25,25,23,25,,98.0,133,54,7,40.6,13.50,10,5,1,50.0,15,3.75,97,5,14,21,7.0,72,42.0,17.0,70.1,4.0,24,777,2022-11-19,長野県,信州新町体育館,230.0,13:00,14:39,1:39,利根川忠史,待井広光,山条康弘,橋詰清美,4
トヨタ自動車サンホークス,3,3,25,25,23,25,,98.0,133.0,54.0,7.0,40.6,13.5,10.0,5.0,1.0,50.0,15.0,3.75,97.0,5.0,14.0,21.0,7.0,72.0,42.0,17.0,70.1,4.0,24,長野GaRons,1,0,20,22,25,17,,84.0,131,51,7,38.9,12.75,30,15,0,50.0,7,1.75,85,1,13,12,0.9,82,36.0,21.0,56.7,4.0,25,777,2022-11-19,長野県,信州新町体育館,230.0,13:00,14:39,1:39,利根川忠史,待井広光,山条康弘,橋詰清美,4
奈良ドリーマーズ,3,3,25,25,20,26,,96.0,108.0,55.0,7.0,50.9,13.75,20.0,6.0,3.0,30.0,10.0,2.5,95.0,2.0,20.0,18.0,1.6,71.0,43.0,12.0,69.0,3.0,29,警視庁フォートファイターズ,1,0,19,17,25,24,,85.0,103,40,13,38.8,10.00,17,9,2,52.9,12,3.00,86,3,14,14,3.5,74,45.0,10.0,67.6,2.0,30,778,2022-11-19,長野県,信州新町体育館,230.0,15:50,17:31,1:41,利根川忠史,波塚彰優,宮島秀紀,片平知之,4
警視庁フォートファイターズ,1,0,19,17,25,24,,85.0,103.0,40.0,13.0,38.8,10.0,17.0,9.0,2.0,52.9,12.0,3.0,86.0,3.0,14.0,14.0,3.5,74.0,45.0,10.0,67.6,2.0,30,奈良ドリーマーズ,3,3,25,25,20,26,,96.0,108,55,7,50.9,13.75,20,6,3,30.0,10,2.50,95,2,20,18,1.6,71,43.0,12.0,69.0,3.0,29,778,2022-11-19,長野県,信州新町体育館,230.0,15:50,17:31,1:41,利根川忠史,波塚彰優,宮島秀紀,片平知之,4
長野GaRons,3,3,25,25,25,,,75.0,90.0,44.0,7.0,48.9,14.67,27.0,10.0,5.0,37.0,9.0,3.0,74.0,2.0,9.0,14.0,4.4,53.0,25.0,14.0,60.4,3.0,20,トヨタモビリティ東京スパークル,0,0,14,23,21,,,58.0,98,32,11,32.7,10.67,7,2,1,28.6,6,2.00,59,1,6,13,4.7,65,35.0,14.0,64.6,3.0,19,779,2022-11-20,長野県,信州新町体育館,240.0,11:00,12:16,1:16,利根川忠史,波塚彰優,宮島秀紀,小山昇,3
トヨタモビリティ東京スパークル,0,0,14,23,21,,,58.0,98.0,32.0,11.0,32.7,10.67,7.0,2.0,1.0,28.6,6.0,2.0,59.0,1.0,6.0,13.0,4.7,65.0,35.0,14.0,64.6,3.0,19,長野GaRons,3,3,25,25,25,,,75.0,90,44,7,48.9,14.67,27,10,5,37.0,9,3.00,74,2,9,14,4.4,53,25.0,14.0,60.4,3.0,20,779,2022-11-20,長野県,信州新町体育館,240.0,11:00,12:16,1:16,利根川忠史,波塚彰優,宮島秀紀,小山昇,3
トヨタ自動車サンホークス,3,2,25,28,23,25,15,116.0,154.0,76.0,7.0,49.4,15.2,14.0,8.0,1.0,57.1,12.0,2.4,116.0,1.0,14.0,26.0,3.4,91.0,56.0,16.0,70.3,1.0,27,警視庁フォートファイターズ,2,1,18,30,25,18,13,104.0,159,68,12,42.8,13.60,28,14,2,50.0,12,2.40,104,2,12,18,3.4,102,45.0,31.0,59.3,3.0,22,780,2022-11-20,長野県,信州新町体育館,240.0,13:25,15:25,2:00,利根川忠史,待井広光,山条康弘,岩澤秀樹,5
警視庁フォートファイターズ,2,1,18,30,25,18,13,104.0,159.0,68.0,12.0,42.8,13.6,28.0,14.0,2.0,50.0,12.0,2.4,104.0,2.0,12.0,18.0,3.4,102.0,45.0,31.0,59.3,3.0,22,トヨタ自動車サンホークス,3,2,25,28,23,25,15,116.0,154,76,7,49.4,15.20,14,8,1,57.1,12,2.40,116,1,14,26,3.4,91,56.0,16.0,70.3,1.0,27,780,2022-11-20,長野県,信州新町体育館,240.0,13:25,15:25,2:00,利根川忠史,待井広光,山条康弘,岩澤秀樹,5
長野GaRons,1,0,21,22,25,23,,91.0,100.0,50.0,12.0,50.0,12.5,36.0,16.0,5.0,44.4,8.0,2.0,92.0,3.0,15.0,14.0,3.0,76.0,27.0,28.0,53.9,2.0,30,トヨタモビリティ東京スパークル,3,3,25,25,17,25,,92.0,120,53,14,44.2,13.25,15,7,5,46.7,6,1.50,91,4,13,19,6.0,77,27.0,33.0,56.5,3.0,29,781,2022-11-26,東京都,日野市市民の森ふれあいホール,81.0,11:00,12:41,1:41,阿部広太郎,山下亮,渡辺千恵,中嶋幹朗,4
トヨタモビリティ東京スパークル,3,3,25,25,17,25,,92.0,120.0,53.0,14.0,44.2,13.25,15.0,7.0,5.0,46.7,6.0,1.5,91.0,4.0,13.0,19.0,6.0,77.0,27.0,33.0,56.5,3.0,29,長野GaRons,1,0,21,22,25,23,,91.0,100,50,12,50.0,12.50,36,16,5,44.4,8,2.00,92,3,15,14,3.0,76,27.0,28.0,53.9,2.0,30,781,2022-11-26,東京都,日野市市民の森ふれあいホール,81.0,11:00,12:41,1:41,阿部広太郎,山下亮,渡辺千恵,中嶋幹朗,4
奈良ドリーマーズ,1,0,25,22,21,18,,86.0,106.0,53.0,13.0,50.0,13.25,14.0,4.0,3.0,28.6,6.0,1.5,87.0,3.0,13.0,13.0,3.4,84.0,34.0,25.0,55.4,2.0,24,警視庁フォートファイターズ,3,3,22,25,25,25,,97.0,115,53,10,46.1,13.25,25,15,3,60.0,9,2.25,96,7,12,18,8.9,73,38.0,20.0,65.8,2.0,28,782,2022-11-26,東京都,日野市市民の森ふれあいホール,175.0,13:30,15:12,1:42,田中昭彦,仲博史,虎澤吉剛,中嶋幹朗,4
警視庁フォートファイターズ,3,3,22,25,25,25,,97.0,115.0,53.0,10.0,46.1,13.25,25.0,15.0,3.0,60.0,9.0,2.25,96.0,7.0,12.0,18.0,8.9,73.0,38.0,20.0,65.8,2.0,28,奈良ドリーマーズ,1,0,25,22,21,18,,86.0,106,53,13,50.0,13.25,14,4,3,28.6,6,1.50,87,3,13,13,3.4,84,34.0,25.0,55.4,2.0,24,782,2022-11-26,東京都,日野市市民の森ふれあいホール,175.0,13:30,15:12,1:42,田中昭彦,仲博史,虎澤吉剛,中嶋幹朗,4
