Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
きんでんトリニティーブリッツ,0,0,15,18,13,,,46,105,29,13,27.6,9.67,11,2,1,18.2,1,0.33,47,1,9,12,3.7,64,26.0,14.0,51.6,0.0,15,大同特殊鋼レッドスター,3,3,25,25,25,,,75,74,43,5,58.1,14.33,13,9,1,69.2,7,2.33,74,3,9,24,9.1,37,19.0,6.0,59.5,1.0,22
トヨタ自動車サンホークス,3,2,25,17,25,17,15,99,130,61,16,46.9,12.20,25,12,5,48.0,7,1.40,98,4,13,28,7.9,89,52.0,14.0,66.3,2.0,27,富士通カワサキレッドスピリッツ,2,1,19,25,23,25,13,105,130,62,11,47.7,12.40,18,11,2,61.1,8,1.60,106,4,15,23,5.7,84,41.0,15.0,57.7,1.0,31
富士通カワサキレッドスピリッツ,2,1,19,25,23,25,13,105,130,62,11,47.7,12.40,18,11,2,61.1,8,1.60,106,4,15,23,5.7,84,41.0,15.0,57.7,1.0,31,トヨタ自動車サンホークス,3,2,25,17,25,17,15,99,130,61,16,46.9,12.20,25,12,5,48.0,7,1.40,98,4,13,28,7.9,89,52.0,14.0,66.3,2.0,27
富士通カワサキレッドスピリッツ,3,3,25,25,26,,,76,85,41,7,48.2,13.67,13,5,1,38.5,9,3.00,75,5,12,26,11.3,50,21.0,20.0,62.0,1.0,21,東京ヴェルディ,0,0,16,18,24,,,58,91,26,11,28.6,8.67,20,4,4,20.0,12,4.00,59,0,9,9,0.0,62,23.0,13.0,47.6,1.0,20
東京ヴェルディ,0,0,16,18,24,,,58,91,26,11,28.6,8.67,20,4,4,20.0,12,4.00,59,0,9,9,0.0,62,23.0,13.0,47.6,1.0,20,富士通カワサキレッドスピリッツ,3,3,25,25,26,,,76,85,41,7,48.2,13.67,13,5,1,38.5,9,3.00,75,5,12,26,11.3,50,21.0,20.0,62.0,1.0,21
つくばユナイテッドSunGAIA,3,3,25,22,25,25,,97,101,45,13,44.6,11.25,12,2,3,16.7,9,2.25,96,5,11,32,10.7,64,20.0,14.0,42.2,7.0,38,きんでんトリニティーブリッツ,1,0,23,25,13,20,,81,110,44,19,40.0,11.00,24,9,6,37.5,4,1.00,82,2,17,30,6.4,83,27.0,24.0,47.0,2.0,31
きんでんトリニティーブリッツ,1,0,23,25,13,20,,81,110,44,19,40.0,11.00,24,9,6,37.5,4,1.00,82,2,17,30,6.4,83,27.0,24.0,47.0,2.0,31,つくばユナイテッドSunGAIA,3,3,25,22,25,25,,97,101,45,13,44.6,11.25,12,2,3,16.7,9,2.25,96,5,11,32,10.7,64,20.0,14.0,42.2,7.0,38
埼玉アザレア,2,1,25,28,24,20,10,107,160,66,12,41.2,13.20,15,8,2,53.3,6,1.20,107,8,12,23,10.0,99,38.0,33.0,55.1,4.0,27,警視庁フォートファイターズ,3,2,23,26,26,25,15,115,164,70,12,42.7,14.00,21,9,3,42.9,15,3.00,115,2,14,28,4.8,93,46.0,19.0,59.7,1.0,28
警視庁フォートファイターズ,3,2,23,26,26,25,15,115,164,70,12,42.7,14.00,21,9,3,42.9,15,3.00,115,2,14,28,4.8,93,46.0,19.0,59.7,1.0,28,埼玉アザレア,2,1,25,28,24,20,10,107,160,66,12,41.2,13.20,15,8,2,53.3,6,1.20,107,8,12,23,10.0,99,38.0,33.0,55.1,4.0,27
警視庁フォートファイターズ,3,3,25,25,25,25,,100,135,56,9,41.5,14.00,24,10,1,41.7,10,2.50,99,7,13,27,10.6,76,39.0,13.0,59.9,4.0,27,つくばユナイテッドSunGAIA,1,0,27,18,21,20,,86,122,45,15,36.9,11.25,12,6,2,50.0,13,3.25,87,2,10,24,6.3,85,37.0,19.0,54.7,2.0,26
つくばユナイテッドSunGAIA,1,0,27,18,21,20,,86,122,45,15,36.9,11.25,12,6,2,50.0,13,3.25,87,2,10,24,6.3,85,37.0,19.0,54.7,2.0,26,警視庁フォートファイターズ,3,3,25,25,25,25,,100,135,56,9,41.5,14.00,24,10,1,41.7,10,2.50,99,7,13,27,10.6,76,39.0,13.0,59.9,4.0,27
埼玉アザレア,3,3,25,25,25,,,75,78,35,4,44.9,11.67,4,2,1,50.0,8,2.67,74,7,6,22,14.9,50,17.0,13.0,47.0,5.0,25,きんでんトリニティーブリッツ,0,0,20,19,18,,,57,83,35,13,42.2,11.67,17,11,2,64.7,5,1.67,58,2,7,20,9.1,66,18.0,21.0,43.2,5.0,15
きんでんトリニティーブリッツ,0,0,20,19,18,,,57,83,35,13,42.2,11.67,17,11,2,64.7,5,1.67,58,2,7,20,9.1,66,18.0,21.0,43.2,5.0,15,埼玉アザレア,3,3,25,25,25,,,75,78,35,4,44.9,11.67,4,2,1,50.0,8,2.67,74,7,6,22,14.9,50,17.0,13.0,47.0,5.0,25
大同特殊鋼レッドスター,3,3,25,25,27,,,77,96,43,6,44.8,14.33,17,4,2,23.5,11,3.67,76,5,8,26,12.5,61,30.0,18.0,63.9,2.0,18,東京ヴェルディ,0,0,23,22,25,,,70,89,40,6,44.9,13.33,20,11,1,55.0,12,4.00,71,2,9,12,3.9,68,19.0,19.0,41.9,3.0,16
東京ヴェルディ,0,0,23,22,25,,,70,89,40,6,44.9,13.33,20,11,1,55.0,12,4.00,71,2,9,12,3.9,68,19.0,19.0,41.9,3.0,16,大同特殊鋼レッドスター,3,3,25,25,27,,,77,96,43,6,44.8,14.33,17,4,2,23.5,11,3.67,76,5,8,26,12.5,61,30.0,18.0,63.9,2.0,18
トヨタ自動車サンホークス,3,3,25,25,25,,,75,76,43,5,56.6,14.33,3,2,0,66.7,7,2.33,74,2,4,17,7.1,34,21.0,6.0,70.6,4.0,23,長野GaRons,0,0,11,17,13,,,41,81,25,11,30.9,8.33,8,3,2,37.5,2,0.67,42,1,8,6,1.2,69,32.0,20.0,60.9,4.0,13
長野GaRons,0,0,11,17,13,,,41,81,25,11,30.9,8.33,8,3,2,37.5,2,0.67,42,1,8,6,1.2,69,32.0,20.0,60.9,4.0,13,トヨタ自動車サンホークス,3,3,25,25,25,,,75,76,43,5,56.6,14.33,3,2,0,66.7,7,2.33,74,2,4,17,7.1,34,21.0,6.0,70.6,4.0,23
きんでんトリニティーブリッツ,3,3,25,25,25,,,75,103,41,6,39.8,13.67,17,5,3,29.4,8,2.67,74,2,14,16,3.4,55,22.0,16.0,54.5,0.0,24,長野GaRons,0,0,22,23,19,,,64,105,40,11,38.1,13.33,4,1,2,25.0,4,1.33,65,0,10,17,2.7,60,29.0,13.0,59.2,3.0,20
長野GaRons,0,0,22,23,19,,,64,105,40,11,38.1,13.33,4,1,2,25.0,4,1.33,65,0,10,17,2.7,60,29.0,13.0,59.2,3.0,20,きんでんトリニティーブリッツ,3,3,25,25,25,,,75,103,41,6,39.8,13.67,17,5,3,29.4,8,2.67,74,2,14,16,3.4,55,22.0,16.0,54.5,0.0,24
大同特殊鋼レッドスター,3,3,25,25,30,,,80,102,51,8,50.0,17.00,18,10,2,55.6,8,2.67,79,3,9,11,4.4,56,32.0,11.0,67.0,0.0,18,長野GaRons,0,0,15,19,28,,,62,100,33,10,33.0,11.00,6,0,0,0.0,8,2.67,63,4,6,10,7.9,69,35.0,21.0,65.9,2.0,17
長野GaRons,0,0,15,19,28,,,62,100,33,10,33.0,11.00,6,0,0,0.0,8,2.67,63,4,6,10,7.9,69,35.0,21.0,65.9,2.0,17,大同特殊鋼レッドスター,3,3,25,25,30,,,80,102,51,8,50.0,17.00,18,10,2,55.6,8,2.67,79,3,9,11,4.4,56,32.0,11.0,67.0,0.0,18
富士通カワサキレッドスピリッツ,3,3,25,25,25,,,75,76,38,7,50.0,12.67,6,2,3,33.3,13,4.33,74,3,13,14,4.4,50,16.0,15.0,47.0,0.0,21,つくばユナイテッドSunGAIA,0,0,22,18,18,,,58,85,33,5,38.8,11.00,11,3,1,27.3,2,0.67,59,3,8,17,8.9,60,27.0,18.0,60.0,8.0,20
つくばユナイテッドSunGAIA,0,0,22,18,18,,,58,85,33,5,38.8,11.00,11,3,1,27.3,2,0.67,59,3,8,17,8.9,60,27.0,18.0,60.0,8.0,20,富士通カワサキレッドスピリッツ,3,3,25,25,25,,,75,76,38,7,50.0,12.67,6,2,3,33.3,13,4.33,74,3,13,14,4.4,50,16.0,15.0,47.0,0.0,21
トヨタ自動車サンホークス,3,2,26,18,25,20,15,104,137,60,12,43.8,12.00,16,5,1,31.2,15,3.00,103,3,12,31,7.5,88,37.0,27.0,57.4,7.0,26,東京ヴェルディ,2,1,24,25,17,25,11,102,152,54,12,35.5,10.80,34,13,4,38.2,11,2.20,103,6,11,22,8.5,89,29.0,28.0,48.3,3.0,31
東京ヴェルディ,2,1,24,25,17,25,11,102,152,54,12,35.5,10.80,34,13,4,38.2,11,2.20,103,6,11,22,8.5,89,29.0,28.0,48.3,3.0,31,トヨタ自動車サンホークス,3,2,26,18,25,20,15,104,137,60,12,43.8,12.00,16,5,1,31.2,15,3.00,103,3,12,31,7.5,88,37.0,27.0,57.4,7.0,26
きんでんトリニティーブリッツ,3,2,23,25,25,21,15,109,141,54,17,38.3,10.80,23,7,4,30.4,18,3.60,108,3,14,22,4.6,91,51.0,29.0,72.0,8.0,34,警視庁フォートファイターズ,2,1,25,21,23,25,10,104,145,49,15,33.8,9.80,26,6,5,23.1,15,3.00,105,1,13,11,0.5,93,39.0,30.0,58.1,6.0,39
警視庁フォートファイターズ,2,1,25,21,23,25,10,104,145,49,15,33.8,9.80,26,6,5,23.1,15,3.00,105,1,13,11,0.5,93,39.0,30.0,58.1,6.0,39,きんでんトリニティーブリッツ,3,2,23,25,25,21,15,109,141,54,17,38.3,10.80,23,7,4,30.4,18,3.60,108,3,14,22,4.6,91,51.0,29.0,72.0,8.0,34
長野GaRons,0,0,20,14,19,,,53,86,30,9,34.9,10.00,9,4,1,44.4,6,2.00,55,4,4,10,10.0,66,31.0,23.0,64.4,7.0,13,大同特殊鋼レッドスター,3,3,25,25,25,,,75,81,48,5,59.3,16.00,10,5,1,50.0,6,2.00,73,1,7,12,3.1,51,26.0,11.0,61.8,1.0,20
大同特殊鋼レッドスター,3,3,25,25,25,,,75,81,48,5,59.3,16.00,10,5,1,50.0,6,2.00,73,1,7,12,3.1,51,26.0,11.0,61.8,1.0,20,長野GaRons,0,0,20,14,19,,,53,86,30,9,34.9,10.00,9,4,1,44.4,6,2.00,55,4,4,10,10.0,66,31.0,23.0,64.4,7.0,13
トヨタ自動車サンホークス,3,3,25,25,25,,,75,81,41,3,50.6,13.67,11,5,1,45.5,8,2.67,74,3,6,25,10.5,47,18.0,16.0,55.3,1.0,23,つくばユナイテッドSunGAIA,0,0,22,14,22,,,58,106,42,12,39.6,14.00,12,6,3,50.0,3,1.00,59,3,10,12,5.9,68,21.0,19.0,44.9,1.0,10
つくばユナイテッドSunGAIA,0,0,22,14,22,,,58,106,42,12,39.6,14.00,12,6,3,50.0,3,1.00,59,3,10,12,5.9,68,21.0,19.0,44.9,1.0,10,トヨタ自動車サンホークス,3,3,25,25,25,,,75,81,41,3,50.6,13.67,11,5,1,45.5,8,2.67,74,3,6,25,10.5,47,18.0,16.0,55.3,1.0,23
