No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
25,,堀夏央哉,2,□,□,,,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,0.0
26,,鈴木匡教,4,□,□,□,□,,8.0,3.0,2.0,37.5,0.75,3.0,1.0,1.0,33.3,0.0,,4.0,0.0,3.0,1.0,-12.5,0.0,0.0,0.0,,501,2022-11-05,埼玉県,川越運動公園総合体育館,369.0,13:00,15:18,2:18,小林朝実,関野智史,上健太郎,大木茂男,つくばユナイテッドSunGAIA,埼玉アザレア,2.0,1.0,25.0,21.0,23.0,25.0,25.0,23.0,22.0,25.0,15.0,12.0,110.0,106.0,28,28,27,25.0,18.0,2:06,3,2,,5.0,3.0
1,,落合一輝,1,□,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,0.0,-25.0,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
2,,中村有登,2,,,□,□,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,3.0,0.0,1.0,0.0,-8.3,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
7,,春藤洸介,4,■,■,■,■,,35.0,11.0,3.0,31.4,2.75,11.0,3.0,2.0,27.3,4.0,1.0,13.0,0.0,2.0,3.0,1.9,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,15.0
9,,森垣拓真,1,,,,□,,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,2.0,0.0,0.0,1.0,12.5,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
11,,前川将太,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,0.0
16,,安田瑛亮,4,■,■,■,■,,20.0,8.0,2.0,40.0,2.0,1.0,0.0,0.0,0.0,0.0,,17.0,1.0,2.0,3.0,7.4,28.0,22.0,3.0,83.9,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,9.0
17,,鳴海宏太,4,■,■,■,■,,33.0,14.0,1.0,42.4,3.5,1.0,0.0,0.0,0.0,1.0,0.25,18.0,0.0,1.0,1.0,0.0,32.0,18.0,6.0,65.6,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,15.0
18,,福元浩太郎,4,■,■,■,■,,0.0,0.0,0.0,,,0.0,0.0,0.0,,1.0,0.25,14.0,0.0,2.0,0.0,-3.6,0.0,0.0,0.0,,502,2022-11-05,埼玉県,川越運動公園総合体育館,181.0,16:00,17:46,1:46,小林朝実,菅原潤,中山智之,岩田真一,ヴィアティン三重,きんでんトリニティーブリッツ,0.0,3.0,27.0,29.0,25.0,23.0,23.0,25.0,20.0,25.0,,,95.0,102.0,26,22,26,23.0,,1:37,1,3,4.0,,1.0
