,Team,Month,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
10,アイシンティルマーレ,1,11,6,146,136,134,97.0,28.0,541.0,760.0,315.0,48.0,41.4,12.6,134.0,55.0,15.0,41.0,45.0,1.8,542.0,24.0,104.0,102.0,4.3,486.0,137.0,199.0,48.7,13.0,157,14,12,142,138,144,121.0,29.0,574.0,744,341,60,272.9,81.95,113,59,15,290.6,49,11.8,573,19,82,136,34.7,433,167.0,145.0,329.6,15.0,165,3336,3160.0,25,384.0,35.1,29.9
11,アイシンティルマーレ,2,12,10,120,100,116,72.0,30.0,438.0,575.0,249.0,36.0,43.3,12.45,94.0,46.0,7.0,48.9,42.0,2.1,435.0,11.0,70.0,87.0,3.5,357.0,159.0,81.0,55.9,14.0,136,8,5,100,126,111,73.0,24.0,434.0,583,253,42,216.4,62.75,123,54,12,171.6,50,13.25,437,11,78,108,20.9,357,177.0,90.0,311.8,16.0,120,2947,1007.0,20,302.0,37.0,41.5
12,アイシンティルマーレ,3,20,18,196,197,189,128.0,29.0,739.0,922.0,414.0,60.0,44.9,13.35,151.0,57.0,15.0,37.7,90.0,2.9,734.0,23.0,108.0,146.0,4.4,553.0,247.0,135.0,56.9,13.0,212,11,6,169,176,175,123.0,29.0,672.0,994,413,69,336.2,106.7,176,78,19,351.8,50,12.719999999999999,677,28,115,153,42.1,611,293.0,164.0,494.3,28.0,181,4926,3514.0,31,527.0,38.4,27.8
13,アイシンティルマーレ,11,13,12,126,116,116,21.0,0.0,379.0,475.0,223.0,31.0,46.9,13.94,83.0,33.0,7.0,39.8,36.0,2.25,373.0,9.0,67.0,89.0,3.9,290.0,112.0,90.0,54.1,11.0,111,3,3,99,104,98,25.0,0.0,326.0,483,178,61,182.5,54.93,92,32,18,162.8,28,8.33,332,11,38,81,30.8,303,133.0,75.0,281.2,12.0,109,2585,1371.0,16,268.0,40.4,31.3
14,アイシンティルマーレ,12,5,3,50,39,44,45.0,27.0,205.0,274.0,118.0,19.0,43.1,11.8,58.0,26.0,7.0,44.8,14.0,1.4,204.0,8.0,27.0,46.0,6.2,175.0,66.0,65.0,56.3,3.0,65,5,3,44,50,48,45.0,30.0,217.0,268,127,18,94.8,25.4,53,22,6,84.2,26,5.199999999999999,218,15,39,34,12.6,175,65.0,58.0,107.5,8.0,49,1067,1170.0,10,140.0,36.1,32.8
15,サフィルヴァ北海道,1,15,12,140,145,144,71.0,27.0,527.0,597.0,280.0,48.0,46.9,12.17,132.0,68.0,14.0,51.5,55.0,2.39,524.0,25.0,77.0,120.0,6.8,397.0,176.0,116.0,58.9,17.0,167,8,6,130,120,132,65.0,27.0,474.0,676,289,70,251.89999999999998,74.59,125,60,16,274.4,31,7.550000000000001,477,12,75,98,21.4,434,187.0,115.0,331.2,22.0,142,3326,4060.0,23,360.0,38.9,40.9
16,サフィルヴァ北海道,2,20,19,163,169,176,103.0,13.0,624.0,729.0,360.0,47.0,49.4,13.85,159.0,70.0,16.0,44.0,78.0,3.0,617.0,23.0,102.0,127.0,4.7,460.0,199.0,135.0,57.9,9.0,163,6,2,146,138,152,94.0,15.0,545.0,777,325,62,293.8,88.18,110,56,10,331.2,47,12.11,552,15,85,118,28.6,508,204.0,161.0,391.9,16.0,158,4096,4131.0,26,461.0,42.9,34.0
17,サフィルヴァ北海道,3,16,13,149,146,132,118.0,33.0,578.0,704.0,332.0,55.0,47.2,12.77,178.0,80.0,21.0,44.9,60.0,2.31,574.0,20.0,87.0,123.0,5.1,452.0,182.0,113.0,52.8,22.0,166,10,5,127,128,138,121.0,43.0,557.0,735,327,52,265.2,75.05,144,67,12,266.6,39,8.870000000000001,561,27,97,142,39.7,477,223.0,121.0,352.0,17.0,164,3708,1913.0,26,412.0,39.3,33.1
18,サフィルヴァ北海道,11,14,13,145,156,147,65.0,12.0,525.0,574.0,287.0,39.0,50.0,13.05,145.0,73.0,20.0,50.3,74.0,3.36,521.0,23.0,80.0,116.0,6.1,386.0,137.0,119.0,50.9,14.0,141,8,5,141,135,115,64.0,15.0,470.0,604,288,47,281.6,76.56,102,38,15,215.2,35,9.35,474,14,80,125,26.7,434,171.0,131.0,324.3,14.0,133,3088,3621.0,22,384.0,43.2,36.6
19,サフィルヴァ北海道,12,5,4,47,50,45,50.0,15.0,207.0,232.0,109.0,17.0,47.0,12.11,60.0,29.0,4.0,48.3,24.0,2.67,207.0,12.0,28.0,36.0,6.8,150.0,55.0,54.0,54.7,6.0,62,4,2,47,38,50,40.0,17.0,192.0,258,118,20,91.5,26.35,48,20,7,85.7,14,3.15,192,9,39,35,7.8,175,65.0,67.0,112.5,3.0,51,1068,1050.0,9,145.0,39.7,41.7
20,ヴィアティン三重,1,22,19,192,186,203,144.0,41.0,766.0,963.0,429.0,79.0,44.5,13.0,137.0,54.0,19.0,39.4,74.0,2.24,760.0,32.0,109.0,176.0,6.4,574.0,282.0,143.0,61.6,18.0,231,11,5,166,182,181,117.0,43.0,689.0,984,397,97,321.3,95.75,185,70,35,292.4,64,15.9,695,22,115,132,27.7,635,255.0,188.0,443.1,19.0,206,4426,3782.0,33,535.0,36.3,25.5
21,ヴィアティン三重,2,7,3,106,122,108,88.0,35.0,459.0,565.0,253.0,37.0,44.8,12.05,78.0,36.0,11.0,46.2,43.0,2.05,461.0,12.0,59.0,97.0,4.7,404.0,190.0,95.0,58.8,15.0,151,14,12,127,119,112,101.0,35.0,494.0,581,304,55,266.1,72.42,140,73,21,254.6,59,13.73,492,20,82,105,27.0,399,178.0,115.0,291.5,14.0,111,2932,2802.0,21,308.0,38.2,32.1
22,ヴィアティン三重,3,14,10,186,180,194,119.0,13.0,692.0,910.0,423.0,64.0,46.5,14.1,138.0,71.0,13.0,51.4,57.0,1.9,692.0,25.0,83.0,152.0,6.1,586.0,278.0,171.0,62.0,14.0,187,16,14,189,191,189,121.0,15.0,705.0,929,439,66,381.3,116.28,165,75,19,375.0,76,19.82,705,29,107,120,36.1,600,284.0,149.0,477.2,14.0,161,4934,3635.0,30,505.0,39.5,42.0
23,ヴィアティン三重,11,7,6,98,92,94,47.0,0.0,331.0,395.0,188.0,28.0,47.6,13.43,50.0,23.0,7.0,46.0,36.0,2.57,331.0,7.0,59.0,48.0,1.3,279.0,128.0,85.0,61.1,7.0,100,7,6,98,95,93,50.0,0.0,336.0,376,189,33,202.0,53.66,83,43,12,205.2,36,10.33,336,17,52,54,22.2,268,134.0,83.0,259.0,15.0,94,2055,1615.0,14,231.0,40.5,32.0
24,ヴィアティン三重,12,5,4,52,51,44,50.0,14.0,211.0,284.0,139.0,22.0,48.9,15.44,38.0,22.0,4.0,57.9,17.0,1.89,210.0,9.0,35.0,46.0,5.6,179.0,93.0,50.0,65.9,1.0,46,4,2,56,43,46,43.0,16.0,204.0,253,123,18,97.0,27.35,24,7,5,56.2,16,3.55,205,7,26,29,8.200000000000001,171,82.0,38.0,118.0,2.0,58,1073,1955.0,9,165.0,41.2,47.4
25,ヴォレアス北海道,1,12,12,88,107,98,75.0,0.0,368.0,429.0,223.0,40.0,52.0,14.87,85.0,41.0,11.0,48.2,42.0,2.8,363.0,26.0,70.0,93.0,8.7,284.0,122.0,67.0,54.8,8.0,77,3,0,92,89,89,64.0,0.0,334.0,418,178,17,170.7,47.5,78,37,6,193.3,21,5.42,339,17,49,84,31.2,281,98.0,76.0,195.0,11.0,118,2230,1770.0,15,291.0,42.7,35.3
26,ヴォレアス北海道,2,19,18,172,169,174,105.0,0.0,620.0,667.0,345.0,45.0,51.7,13.8,132.0,68.0,10.0,51.5,84.0,3.36,612.0,32.0,113.0,148.0,6.7,455.0,210.0,105.0,57.7,12.0,159,6,3,142,155,155,95.0,0.0,547.0,706,327,51,324.3,91.16,121,55,12,315.8,28,7.51,555,22,90,127,39.4,487,195.0,125.0,365.8,18.0,170,4095,5348.0,25,461.0,45.0,43.9
27,ヴォレアス北海道,3,24,23,196,178,203,125.0,15.0,717.0,756.0,392.0,48.0,51.9,13.07,143.0,78.0,16.0,54.5,72.0,2.4,706.0,43.0,134.0,174.0,7.5,479.0,212.0,117.0,56.5,10.0,210,6,1,168,181,150,92.0,8.0,599.0,801,349,64,344.2,92.08,146,63,23,328.0,36,9.55,610,22,120,139,32.7,553,211.0,143.0,412.6,26.0,192,4930,3906.0,30,507.0,45.5,43.4
28,ヴォレアス北海道,11,17,15,145,157,145,50.0,28.0,525.0,566.0,315.0,47.0,55.7,14.32,124.0,75.0,14.0,60.5,52.0,2.36,518.0,36.0,85.0,159.0,10.5,381.0,179.0,90.0,58.8,19.0,122,5,3,132,125,131,36.0,27.0,451.0,544,249,35,275.9,67.8,80,34,7,273.8,38,9.73,458,13,71,105,27.3,419,148.0,90.0,280.3,16.0,151,3088,3577.0,22,403.0,47.3,49.2
29,ヴォレアス北海道,12,6,5,47,46,50,45.0,15.0,203.0,245.0,128.0,16.0,52.2,14.22,54.0,31.0,6.0,57.4,21.0,2.33,202.0,10.0,33.0,54.0,7.5,155.0,81.0,34.0,63.2,7.0,44,3,1,42,44,41,39.0,10.0,176.0,243,102,18,84.4,22.75,50,23,3,88.3,12,2.65,177,6,20,36,11.100000000000001,167,59.0,46.0,98.19999999999999,6.0,56,1068,920.0,9,159.0,45.7,46.3
30,兵庫デルフィーノ,1,5,1,137,157,159,64.0,12.0,529.0,755.0,307.0,69.0,40.7,11.81,125.0,54.0,14.0,43.2,36.0,1.38,538.0,16.0,81.0,130.0,5.3,509.0,228.0,116.0,56.2,18.0,170,21,20,180,172,161,100.0,15.0,628.0,720,365,51,363.8,99.2,118,53,10,317.8,71,19.44,619,24,99,152,43.900000000000006,453,227.0,83.0,412.4,20.0,168,3892,2263.0,26,359.0,31.5,32.0
