,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
111,橋知宏,兵庫デルフィーノ,176,22,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,0.0,5.0,6.0,1.1,10.0,3.0,0.0,30.0,4492,2511.0,1.0,23.0,152.0,205.0,179.0,190.0,178.0,188.0,82.0,125.0,12.0,15.0,603.0,723.0,179,198,197,107.0,17.0,6,24,8.0,22.0,0.0,,
112,櫻井翔馬,アイシンティルマーレ,260,19,61.0,34.0,3.0,55.7,1.79,0.0,0.0,0.0,,4.0,0.21,59.0,4.0,15.0,14.0,6.4,1.0,0.0,1.0,50.0,7060,5401.0,23.0,16.0,322.0,286.0,300.0,294.0,304.0,285.0,160.0,191.0,70.0,70.0,1156.0,1126.0,307,306,319,183.0,80.0,31,21,18.0,34.0,42.0,50.8,
113,毛利光生,きんでんトリニティーブリッツ,176,63,43.0,16.0,1.0,37.2,0.25,1.0,0.0,0.0,0.0,9.0,0.14,209.0,12.0,11.0,62.0,11.8,4.0,0.0,0.0,0.0,8609,5607.0,20.0,28.0,361.0,384.0,350.0,382.0,354.0,374.0,264.0,249.0,72.0,72.0,1401.0,1461.0,367,359,385,265.0,82.0,28,36,22.0,42.0,37.0,34.9,0.0
114,水野将司,アイシンティルマーレ,36,42,117.0,56.0,1.0,47.9,1.33,0.0,0.0,0.0,,27.0,0.64,111.0,0.0,3.0,16.0,2.9,5.0,1.0,2.0,40.0,6469,4843.0,18.0,18.0,305.0,259.0,266.0,278.0,275.0,263.0,156.0,195.0,54.0,56.0,1056.0,1051.0,281,278,295,180.0,61.0,26,22,10.0,38.0,83.0,47.0,
115,江口颯人,きんでんトリニティーブリッツ,9,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,553,123.0,3.0,0.0,30.0,28.0,25.0,23.0,20.0,25.0,25.0,15.0,0.0,0.0,100.0,91.0,29,22,25,18.0,0.0,3,1,4.0,0.0,0.0,,
116,江藤巧,富士通カワサキレッドスピリッツ,72,34,23.0,10.0,2.0,43.5,0.29,0.0,0.0,0.0,,6.0,0.18,121.0,5.0,18.0,27.0,6.0,1.0,0.0,0.0,0.0,4469,3687.0,18.0,6.0,196.0,167.0,188.0,177.0,199.0,206.0,165.0,154.0,45.0,34.0,793.0,738.0,180,185,217,161.0,44.0,22,12,20.0,14.0,21.0,34.8,
117,浅野卓雅,富士通カワサキレッドスピリッツ,165,37,231.0,92.0,7.0,39.8,2.49,34.0,16.0,1.0,47.1,8.0,0.22,128.0,3.0,5.0,27.0,6.6,248.0,93.0,70.0,51.6,8110,6809.0,30.0,15.0,355.0,315.0,356.0,311.0,358.0,367.0,241.0,249.0,45.0,34.0,1355.0,1276.0,336,345,395,257.0,44.0,37,22,30.0,29.0,103.0,36.8,44.1
118,清水遼,大同特殊鋼レッドスター,210,21,36.0,12.0,4.0,33.3,0.57,4.0,2.0,1.0,50.0,1.0,0.05,32.0,0.0,4.0,6.0,1.6,0.0,0.0,0.0,,7573,5501.0,7.0,35.0,309.0,334.0,288.0,334.0,290.0,338.0,129.0,139.0,12.0,15.0,1028.0,1160.0,318,320,327,138.0,13.0,12,37,23.0,26.0,13.0,22.2,25.0
119,清田晟ノ祐,きんでんトリニティーブリッツ,140,19,103.0,45.0,12.0,43.7,2.37,39.0,17.0,8.0,43.6,1.0,0.05,35.0,2.0,14.0,7.0,0.7,0.0,0.0,0.0,,2824,1648.0,6.0,9.0,115.0,114.0,111.0,117.0,110.0,118.0,120.0,122.0,57.0,60.0,513.0,531.0,114,112,114,125.0,69.0,11,13,15.0,9.0,48.0,32.0,23.1
120,渡辺大亮,埼玉アザレア,30,11,16.0,4.0,3.0,25.0,0.36,0.0,0.0,0.0,,1.0,0.09,29.0,0.0,4.0,7.0,2.6,0.0,0.0,0.0,,8087,6051.0,23.0,22.0,343.0,361.0,362.0,354.0,358.0,348.0,268.0,254.0,51.0,59.0,1382.0,1376.0,342,365,386,272.0,64.0,29,31,34.0,26.0,5.0,6.2,
121,渡邉龍也,サフィルヴァ北海道,104,14,31.0,18.0,2.0,58.1,1.29,0.0,0.0,0.0,,4.0,0.29,35.0,3.0,13.0,5.0,2.9,1.0,0.0,0.0,0.0,2228,3455.0,7.0,5.0,93.0,88.0,95.0,80.0,96.0,84.0,46.0,42.0,12.0,15.0,342.0,309.0,88,88,94,44.0,15.0,9,6,12.0,3.0,25.0,51.6,
122,渡邊和馬,大同特殊鋼レッドスター,28,20,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,25.0,83.0,35.0,13.0,50.0,7573,5501.0,7.0,35.0,309.0,334.0,288.0,334.0,290.0,338.0,129.0,139.0,12.0,15.0,1028.0,1160.0,318,320,327,138.0,13.0,12,37,23.0,26.0,0.0,,
123,満生大輝,つくばユナイテッドSunGAIA,300,23,84.0,32.0,5.0,38.1,1.39,2.0,0.0,0.0,0.0,5.0,0.22,62.0,6.0,22.0,18.0,8.1,138.0,79.0,15.0,62.7,8039,5671.0,24.0,21.0,351.0,336.0,318.0,354.0,352.0,345.0,272.0,259.0,45.0,37.0,1338.0,1331.0,359,359,386,285.0,51.0,30,29,19.0,40.0,43.0,32.1,0.0
124,滝沢優樹,アイシンティルマーレ,14,51,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,27.0,3.0,4.0,4.0,11.1,136.0,41.0,49.0,48.2,7565,5931.0,23.0,19.0,347.0,305.0,316.0,319.0,319.0,310.0,181.0,216.0,70.0,70.0,1233.0,1220.0,328,325,344,205.0,80.0,32,24,18.0,38.0,3.0,,
125,澁谷杜斗,兵庫デルフィーノ,198,62,435.0,185.0,36.0,42.5,2.98,45.0,19.0,6.0,42.2,8.0,0.13,227.0,6.0,29.0,38.0,3.6,349.0,109.0,110.0,47.0,9715,6502.0,1.0,53.0,366.0,453.0,375.0,434.0,369.0,436.0,156.0,225.0,12.0,15.0,1278.0,1563.0,406,421,426,195.0,17.0,10,54,22.0,42.0,199.0,34.3,28.9
126,濱田英寿,つくばユナイテッドSunGAIA,143,46,203.0,77.0,13.0,37.9,1.67,5.0,0.0,1.0,0.0,16.0,0.35,165.0,11.0,45.0,36.0,5.3,312.0,172.0,55.0,63.9,6974,5356.0,18.0,21.0,301.0,303.0,271.0,306.0,309.0,302.0,222.0,215.0,45.0,37.0,1148.0,1163.0,318,313,336,233.0,51.0,24,27,11.0,40.0,104.0,31.5,-20.0
127,瀧澤陽紀,つくばユナイテッドSunGAIA,90,39,48.0,15.0,3.0,31.2,0.38,4.0,0.0,1.0,0.0,2.0,0.05,62.0,0.0,9.0,19.0,4.0,45.0,25.0,14.0,71.1,8039,5671.0,24.0,21.0,351.0,336.0,318.0,354.0,352.0,345.0,272.0,259.0,45.0,37.0,1338.0,1331.0,359,359,386,285.0,51.0,30,29,19.0,40.0,17.0,25.0,-25.0
128,田中友貴,富士通カワサキレッドスピリッツ,184,31,59.0,27.0,1.0,45.8,0.87,0.0,0.0,0.0,,18.0,0.58,135.0,3.0,3.0,19.0,5.2,13.0,5.0,4.0,53.8,4469,3687.0,18.0,6.0,196.0,167.0,188.0,177.0,199.0,206.0,165.0,154.0,45.0,34.0,793.0,738.0,180,185,217,161.0,44.0,22,12,20.0,14.0,48.0,44.1,
129,田中涼,埼玉アザレア,204,65,498.0,211.0,27.0,42.4,3.25,91.0,49.0,8.0,53.8,24.0,0.37,256.0,2.0,5.0,67.0,6.8,359.0,152.0,93.0,55.3,9172,6591.0,26.0,25.0,385.0,403.0,406.0,397.0,408.0,387.0,289.0,279.0,51.0,59.0,1539.0,1525.0,386,405,436,295.0,64.0,33,34,37.0,30.0,237.0,36.9,45.1
130,田代真輝,サフィルヴァ北海道,48,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,22.0,0.0,2.0,5.0,3.4,0.0,0.0,0.0,,2194,3539.0,5.0,7.0,90.0,93.0,95.0,88.0,91.0,98.0,96.0,82.0,27.0,32.0,399.0,393.0,91,95,102,90.0,33.0,8,10,9.0,9.0,0.0,,
131,田城貴之,ヴォレアス北海道,33,3,17.0,12.0,2.0,70.6,4.0,0.0,0.0,0.0,,7.0,2.33,9.0,0.0,1.0,2.0,2.8,0.0,0.0,0.0,,5861,6230.0,29.0,4.0,265.0,237.0,278.0,225.0,270.0,242.0,145.0,117.0,43.0,37.0,1001.0,858.0,252,267,275,140.0,48.0,32,10,34.0,8.0,19.0,58.8,
132,田畑翔伍,きんでんトリニティーブリッツ,91,19,52.0,23.0,6.0,44.2,1.21,3.0,2.0,1.0,66.7,7.0,0.37,43.0,1.0,7.0,5.0,1.2,72.0,29.0,19.0,53.5,6917,4431.0,16.0,23.0,290.0,306.0,284.0,309.0,289.0,301.0,191.0,191.0,61.0,57.0,1115.0,1164.0,292,292,311,199.0,66.0,22,29,13.0,38.0,31.0,32.7,33.3
133,白川佑樹,兵庫デルフィーノ,30,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8008,5502.0,1.0,44.0,312.0,378.0,310.0,366.0,310.0,359.0,138.0,200.0,12.0,15.0,1082.0,1318.0,343,350,354,173.0,17.0,9,45,22.0,32.0,0.0,,
134,石川嵐斗,つくばユナイテッドSunGAIA,26,40,17.0,7.0,0.0,41.2,0.18,0.0,0.0,0.0,,1.0,0.02,140.0,3.0,12.0,42.0,7.5,3.0,0.0,1.0,16.7,6994,4926.0,24.0,15.0,309.0,286.0,271.0,309.0,311.0,295.0,247.0,232.0,45.0,37.0,1183.0,1159.0,312,312,340,259.0,51.0,29,23,19.0,33.0,11.0,41.2,
135,福井大志,きんでんトリニティーブリッツ,60,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,4.0,0.0,66.7,1678,478.0,6.0,3.0,75.0,74.0,77.0,69.0,59.0,75.0,68.0,58.0,26.0,27.0,305.0,303.0,73,68,70,62.0,32.0,8,6,14.0,0.0,0.0,,
136,福井裕貴,きんでんトリニティーブリッツ,207,18,51.0,21.0,4.0,41.2,1.17,0.0,0.0,0.0,,11.0,0.61,44.0,0.0,2.0,8.0,3.4,3.0,1.0,0.0,33.3,4673,3128.0,11.0,16.0,195.0,217.0,194.0,217.0,208.0,206.0,119.0,112.0,15.0,12.0,731.0,764.0,203,203,226,122.0,13.0,14,19,3.0,30.0,32.0,33.3,
137,福元浩太郎,ヴィアティン三重,270,49,9.0,2.0,0.0,22.2,0.04,0.0,0.0,0.0,,12.0,0.24,171.0,6.0,14.0,28.0,5.6,5.0,0.0,0.0,0.0,8126,7602.0,30.0,15.0,359.0,345.0,354.0,340.0,366.0,341.0,265.0,236.0,73.0,79.0,1417.0,1341.0,344,367,372,261.0,83.0,36,25,48.0,13.0,20.0,22.2,
138,秦俊介,富士通カワサキレッドスピリッツ,315,42,138.0,52.0,18.0,37.7,1.24,58.0,17.0,11.0,29.3,8.0,0.19,92.0,8.0,31.0,28.0,7.9,0.0,0.0,0.0,,8110,6809.0,30.0,15.0,355.0,315.0,356.0,311.0,358.0,367.0,241.0,249.0,45.0,34.0,1355.0,1276.0,336,345,395,257.0,44.0,37,22,30.0,29.0,68.0,24.6,10.3
139,笠原啓太,埼玉アザレア,91,40,62.0,31.0,3.0,50.0,0.78,0.0,0.0,0.0,,3.0,0.08,84.0,5.0,13.0,23.0,8.9,9.0,3.0,5.0,61.1,7020,6061.0,22.0,17.0,297.0,316.0,314.0,290.0,312.0,297.0,217.0,219.0,39.0,44.0,1179.0,1166.0,304,306,337,226.0,48.0,27,24,34.0,17.0,39.0,45.2,
140,笹本陽,アイシンティルマーレ,120,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,1.0,4.2,0.0,0.0,0.0,,2801,2408.0,7.0,8.0,126.0,121.0,116.0,118.0,113.0,118.0,82.0,96.0,31.0,25.0,468.0,478.0,123,118,124,95.0,35.0,11,10,8.0,13.0,0.0,0.0,
141,筒井匠,埼玉アザレア,128,54,153.0,75.0,4.0,49.0,1.39,1.0,1.0,0.0,100.0,15.0,0.28,203.0,1.0,10.0,55.0,6.0,4.0,1.0,2.0,50.0,8634,6304.0,23.0,25.0,360.0,384.0,381.0,382.0,383.0,366.0,289.0,279.0,51.0,59.0,1464.0,1470.0,364,386,411,295.0,64.0,30,34,34.0,30.0,91.0,46.4,100.0
142,米村恒輝,サフィルヴァ北海道,8,5,29.0,14.0,1.0,48.3,2.8,2.0,1.0,0.0,50.0,1.0,0.2,6.0,0.0,3.0,1.0,-8.3,12.0,2.0,5.0,37.5,1086,988.0,6.0,0.0,50.0,40.0,43.0,38.0,50.0,29.0,25.0,18.0,0.0,0.0,168.0,125.0,43,41,41,22.0,0.0,6,1,7.0,0.0,15.0,44.8,50.0
143,米澤寛武,富士通カワサキレッドスピリッツ,160,10,54.0,28.0,3.0,51.9,2.8,3.0,2.0,1.0,66.7,2.0,0.2,25.0,1.0,1.0,3.0,6.0,35.0,12.0,10.0,48.6,5282,4441.0,18.0,12.0,233.0,211.0,243.0,193.0,228.0,243.0,144.0,158.0,0.0,0.0,848.0,805.0,226,230,260,163.0,0.0,22,15,18.0,19.0,31.0,46.3,33.3
144,緒方悠大,富士通カワサキレッドスピリッツ,45,21,42.0,20.0,5.0,47.6,0.95,0.0,0.0,0.0,,7.0,0.33,66.0,0.0,3.0,10.0,2.7,2.0,1.0,1.0,75.0,8110,6809.0,30.0,15.0,355.0,315.0,356.0,311.0,358.0,367.0,241.0,249.0,45.0,34.0,1355.0,1276.0,336,345,395,257.0,44.0,37,22,30.0,29.0,27.0,35.7,
145,舩倉拓登,大同特殊鋼レッドスター,238,21,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,0.05,31.0,0.0,0.0,7.0,5.6,0.0,0.0,0.0,,7573,5501.0,7.0,35.0,309.0,334.0,288.0,334.0,290.0,338.0,129.0,139.0,12.0,15.0,1028.0,1160.0,318,320,327,138.0,13.0,12,37,23.0,26.0,1.0,,
146,茂木祐太,埼玉アザレア,289,30,204.0,76.0,23.0,37.3,2.53,63.0,17.0,12.0,27.0,7.0,0.23,100.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,,9172,6591.0,26.0,25.0,385.0,403.0,406.0,397.0,408.0,387.0,289.0,279.0,51.0,59.0,1539.0,1525.0,386,405,436,295.0,64.0,33,34,37.0,30.0,83.0,26.0,7.9
147,荒木田光一,埼玉アザレア,135,36,172.0,93.0,8.0,54.1,2.58,1.0,0.0,1.0,0.0,16.0,0.44,77.0,0.0,3.0,8.0,1.6,1.0,1.0,0.0,100.0,5012,3437.0,17.0,10.0,204.0,209.0,220.0,208.0,225.0,200.0,199.0,190.0,23.0,30.0,871.0,837.0,198,213,232,201.0,30.0,21,16,20.0,17.0,109.0,49.4,-100.0
148,菅原幸紀,アイシンティルマーレ,224,13,57.0,22.0,9.0,38.6,1.69,10.0,4.0,3.0,40.0,3.0,0.23,32.0,0.0,3.0,5.0,1.6,49.0,16.0,14.0,46.9,7565,5931.0,23.0,19.0,347.0,305.0,316.0,319.0,319.0,310.0,181.0,216.0,70.0,70.0,1233.0,1220.0,328,325,344,205.0,80.0,32,24,18.0,38.0,25.0,22.8,10.0
149,落合一輝,ヴィアティン三重,15,34,75.0,33.0,5.0,44.0,0.97,3.0,1.0,0.0,33.3,2.0,0.06,82.0,1.0,8.0,13.0,2.7,99.0,46.0,23.0,58.1,8126,7602.0,30.0,15.0,359.0,345.0,354.0,340.0,366.0,341.0,265.0,236.0,73.0,79.0,1417.0,1341.0,344,367,372,261.0,83.0,36,25,48.0,13.0,36.0,37.3,33.3
150,藤原郷介,兵庫デルフィーノ,255,16,35.0,14.0,3.0,40.0,0.88,9.0,5.0,0.0,55.6,1.0,0.06,10.0,0.0,0.0,1.0,2.5,0.0,0.0,0.0,,9170,6074.0,1.0,50.0,345.0,428.0,358.0,409.0,344.0,415.0,142.0,200.0,12.0,15.0,1201.0,1467.0,382,397,404,173.0,17.0,9,51,22.0,38.0,15.0,31.4,55.6
