No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
29,,曾根裕也,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
31,,三木大成,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,兵庫デルフィーノ,トヨタ自動車サンホークス,0.0,3.0,25.0,27.0,21.0,25.0,22.0,25.0,,,,,68.0,77.0,30,22,25,,,1:17,0,3,3.0,,0.0
1,,西村駿佑,3,■,■,■,,,14.0,8.0,0.0,57.1,2.67,0.0,0.0,0.0,,1.0,0.33,15.0,0.0,2.0,4.0,3.3,36.0,18.0,13.0,68.1,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,9.0
5,,柴田康平,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
7,,岸森翼,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
8,,山岡龍司,3,■,■,■,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,10.0,0.0,0.0,1.0,2.5,1.0,0.0,0.0,0.0,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
9,,平野太一,3,■,■,■,,,12.0,8.0,1.0,66.7,2.67,0.0,0.0,0.0,,0.0,,13.0,0.0,1.0,2.0,1.9,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,8.0
10,,川端下大,3,■,■,■,,,18.0,9.0,1.0,50.0,3.0,0.0,0.0,0.0,,2.0,0.67,8.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,50.0,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,11.0
11,L,福島孝輝,3,●,●,●,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,17.0,11.0,4.0,76.5,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,0.0
12,,石黒拓未,3,■,■,■,,,12.0,6.0,0.0,50.0,2.0,0.0,0.0,0.0,,2.0,0.67,9.0,1.0,3.0,1.0,5.6,0.0,0.0,0.0,,904,2023-04-08,岩手県,オガールアリーナ,40.0,14:00,15:23,1:23,印藤智一,上總向貴,竹澤拓人,柳村元,トヨタ自動車サンホークス,兵庫デルフィーノ,3.0,0.0,27.0,25.0,25.0,21.0,25.0,22.0,,,,,77.0,68.0,30,22,25,,,1:17,3,0,,3.0,9.0
