,Player,Team,Month,No.,PlaySet,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
10,吉田魁成,大同特殊鋼レッドスター,4,6,7,0.0,46.0,22.0,4.0,47.8,3.14,0.0,0.0,0.0,,5.0,0.71,19.0,0.0,3.0,1.0,-2.6,0.0,0.0,0.0,,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,27.0,39.1,
11,坂本尚哉,兵庫デルフィーノ,4,32,6,0.0,73.0,33.0,8.0,45.2,5.5,22.0,11.0,4.0,50.0,1.0,0.17,25.0,1.0,1.0,2.0,5.0,5.0,1.0,4.0,60.0,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,35.0,34.2,31.8
12,境龍生,大同特殊鋼レッドスター,4,26,6,0.0,52.0,13.0,3.0,25.0,2.17,6.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,7.0,3.0,0.0,1.0,1.0,0.0,100.0,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,14.0,19.2,-16.7
13,増田宏人,クボタスピアーズ,4,20,7,0.0,25.0,9.0,3.0,36.0,1.29,0.0,0.0,0.0,,6.0,0.86,21.0,0.0,7.0,5.0,-2.4,5.0,3.0,0.0,60.0,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,15.0,24.0,
14,大坪剛,大同特殊鋼レッドスター,4,28,7,0.0,51.0,17.0,6.0,33.3,2.43,10.0,3.0,0.0,30.0,2.0,0.29,29.0,0.0,2.0,6.0,3.4,33.0,8.0,13.0,43.9,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,19.0,21.6,30.0
15,大崎世惇,クボタスピアーズ,4,48,7,0.0,5.0,1.0,0.0,20.0,0.14,0.0,0.0,0.0,,5.0,0.71,27.0,1.0,1.0,1.0,3.7,0.0,0.0,0.0,,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,7.0,20.0,
16,大野祐大朗,トヨタ自動車サンホークス,4,38,6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,1.0,4.2,5.0,4.0,0.0,80.0,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,0.0,,
17,寺尾壮太,大同特殊鋼レッドスター,4,36,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,0.0,,
18,小磯智紀,クボタスピアーズ,4,32,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,0.0,,
19,山口匠海,兵庫デルフィーノ,4,40,5,0.0,17.0,10.0,0.0,58.8,2.0,0.0,0.0,0.0,,1.0,0.2,18.0,0.0,2.0,7.0,6.9,0.0,0.0,0.0,,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,11.0,58.8,
20,山岡龍司,トヨタ自動車サンホークス,4,16,6,0.0,1.0,1.0,0.0,100.0,0.17,0.0,0.0,0.0,,1.0,0.17,18.0,0.0,2.0,1.0,-1.4,2.0,0.0,0.0,0.0,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,2.0,100.0,
21,山本翔也,兵庫デルフィーノ,4,52,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,0.0,,
22,岸森翼,トヨタ自動車サンホークス,4,14,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,0.0,,
23,川端下大,トヨタ自動車サンホークス,4,20,6,0.0,34.0,11.0,5.0,32.4,1.83,2.0,0.0,1.0,0.0,2.0,0.33,16.0,0.0,4.0,3.0,-1.6,1.0,0.0,1.0,50.0,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,13.0,17.6,-50.0
24,平野太一,トヨタ自動車サンホークス,4,18,6,0.0,20.0,13.0,1.0,65.0,2.17,0.0,0.0,0.0,,4.0,0.67,30.0,1.0,1.0,5.0,6.7,0.0,0.0,0.0,,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,18.0,60.0,
25,後藤大希,兵庫デルフィーノ,4,46,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,0.0,,
26,持下瑞貴,兵庫デルフィーノ,4,56,6,0.0,28.0,14.0,1.0,50.0,2.33,0.0,0.0,0.0,,2.0,0.33,11.0,0.0,1.0,0.0,-2.3,1.0,1.0,0.0,100.0,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,16.0,46.4,
27,早坂心之介,大同特殊鋼レッドスター,4,8,3,0.0,1.0,1.0,0.0,100.0,0.33,0.0,0.0,0.0,,0.0,0.0,7.0,1.0,0.0,0.0,14.3,1.0,0.0,0.0,0.0,1810,150.0,0.0,6.0,48.0,48.0,46.0,55.0,42.0,50.0,20.0,25.0,0.0,0.0,156.0,178.0,51,54,48,23.0,0.0,1,6,7.0,0.0,2.0,100.0,
28,早瀬川雄也,クボタスピアーズ,4,6,7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,52.0,32.0,10.0,71.2,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,0.0,,
29,曾根裕也,兵庫デルフィーノ,4,58,1,0.0,5.0,1.0,1.0,20.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,-12.5,0.0,0.0,0.0,,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,2.0,0.0,-50.0
30,枡富滉,クボタスピアーズ,4,22,7,0.0,64.0,28.0,2.0,43.8,4.0,11.0,8.0,0.0,72.7,1.0,0.14,30.0,2.0,9.0,2.0,0.8,46.0,25.0,11.0,66.3,1810,150.0,6.0,0.0,48.0,48.0,55.0,46.0,50.0,42.0,25.0,20.0,0.0,0.0,178.0,156.0,51,54,48,23.0,0.0,6,1,0.0,7.0,31.0,40.6,72.7
31,柴田康平,トヨタ自動車サンホークス,4,10,1,0.0,4.0,1.0,0.0,25.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1812,90.0,6.0,0.0,52.0,46.0,50.0,41.0,50.0,43.0,0.0,0.0,0.0,0.0,152.0,130.0,52,44,47,0.0,0.0,6,0,0.0,6.0,1.0,25.0,
32,森愛樹,兵庫デルフィーノ,4,12,6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,30.0,6.0,82.5,1812,90.0,0.0,6.0,46.0,52.0,41.0,50.0,43.0,50.0,0.0,0.0,0.0,0.0,130.0,152.0,52,44,47,0.0,0.0,0,6,6.0,0.0,0.0,,
