No.,L,Player,PlaySet,1set,2set,3set,4set,5set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge,Team,Op.Team,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,TotalTime,GetSet,LostSet,TotalSet,Set,Point
3,,大元朱菜,0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,0.0
4,,プラクセレステ,5,■,■,■,■,■,44.0,15.0,1.0,34.1,3.0,3.0,0.0,1.0,0.0,2.0,0.4,13.0,0.0,0.0,3.0,5.8,0.0,0.0,0.0,,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,17.0
5,,長野有紗,3,,,■,■,■,2.0,2.0,0.0,100.0,0.67,0.0,0.0,0.0,,2.0,0.67,7.0,0.0,1.0,2.0,3.6,0.0,0.0,0.0,,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,4.0
6,L,花井萌里,5,●,●,●,●,●,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,24.0,13.0,4.0,62.5,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,0.0
13,,田中咲希,4,□,,■,■,■,33.0,16.0,1.0,48.5,4.0,0.0,0.0,0.0,,2.0,0.5,8.0,1.0,1.0,3.0,18.8,16.0,5.0,4.0,43.8,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,19.0
14,,佐々木千紘,2,■,■,,,,4.0,0.0,3.0,0.0,,0.0,0.0,0.0,,2.0,1.0,5.0,0.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,2.0
15,,松本愛希穂,4,■,■,,□,□,26.0,4.0,2.0,15.4,1.0,0.0,0.0,0.0,,0.0,,4.0,0.0,0.0,0.0,0.0,17.0,11.0,2.0,70.6,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,4.0
17,,清田萌,2,,□,,,□,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,3.0,1.0,0.0,0.0,33.3,0.0,0.0,0.0,,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,1.0
18,,古市梨乃,1,,□,,,,2.0,0.0,1.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,100.0,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,0.0
22,,金田莉実,5,■,■,■,■,■,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.4,17.0,1.0,1.0,2.0,7.4,21.0,4.0,5.0,31.0,912,2023-04-08,新潟県,シティホールプラザ アオーレ長岡,1137.0,14:00,16:16,2:16,勝又正,服部篤史,長崎有紗,鷲尾正吾,ヴィクトリーナ姫路,プレステージ・インターナショナルアランマーレ,1.0,2.0,22.0,25.0,20.0,25.0,25.0,18.0,25.0,16.0,14.0,16.0,106.0,100.0,31,24,26,23.0,20.0,2:04,2,3,5.0,,3.0
