Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Date,Place,Venue,Spectators,StartTime,EndTime,GameTime,JURY,ChiefUmpire,SubUmpire,Judge
JTマーヴェラス,2,1,28,22,25,22,12,109,187,68,13,36.4,13.60,25,8,4,32.0,14,2.80,110,1,13,31,5.0,99,40.0,30.0,55.6,6.0,26,トヨタ車体クインシーズ,3,2,26,25,22,25,15,113,189,65,9,34.4,13.00,24,14,1,58.3,14,2.80,112,2,12,28,5.4,97,40.0,25.0,54.1,5.0,32,328,2022/11/19,愛知県,ウィングアリーナ刈谷,620,13:00,15:39,2:39,村上成司,沢田元,増岡三佳子,三角希実
トヨタ車体クインシーズ,0,0,19,23,21,,,63,111,44,8,39.6,14.67,15,5,1,33.3,5,1.67,65,5,5,11,10.0,67,34.0,12.0,59.7,2.0,9,JTマーヴェラス,3,3,25,25,25,,,75,128,50,2,39.1,16.67,18,6,1,33.3,6,2.00,73,4,5,18,9.9,58,29.0,15.0,62.9,2.0,15,334,2022/11/20,愛知県,ウィングアリーナ刈谷,590,13:00,14:38,1:38,村上成司,増岡三佳子,上総向貴,武井結香
JTマーヴェラス,3,3,25,25,25,,,75,128,50,2,39.1,16.67,18,6,1,33.3,6,2.00,73,4,5,18,9.9,58,29.0,15.0,62.9,2.0,15,トヨタ車体クインシーズ,0,0,19,23,21,,,63,111,44,8,39.6,14.67,15,5,1,33.3,5,1.67,65,5,5,11,10.0,67,34.0,12.0,59.7,2.0,9,334,2022/11/20,愛知県,ウィングアリーナ刈谷,590,13:00,14:38,1:38,村上成司,増岡三佳子,上総向貴,武井結香
埼玉上尾メディックス,3,3,25,25,24,25,,99,138,63,5,45.7,15.75,10,4,0,40.0,3,0.75,98,5,6,26,10.2,68,45.0,3.0,68.4,2.0,28,日立Astemoリヴァーレ,1,0,22,13,26,17,,78,157,60,11,38.2,15.00,14,7,1,50.0,5,1.25,79,0,11,20,2.8,89,51.0,10.0,62.9,6.0,13,329,2022/11/19,京都府,京都市体育館,620,14:00,16:09,2:09,小野将人,慈眼雅啓,國頭亮太,元木麗
日立Astemoリヴァーレ,1,0,22,13,26,17,,78,157,60,11,38.2,15.00,14,7,1,50.0,5,1.25,79,0,11,20,2.8,89,51.0,10.0,62.9,6.0,13,埼玉上尾メディックス,3,3,25,25,24,25,,99,138,63,5,45.7,15.75,10,4,0,40.0,3,0.75,98,5,6,26,10.2,68,45.0,3.0,68.4,2.0,28,329,2022/11/19,京都府,京都市体育館,620,14:00,16:09,2:09,小野将人,慈眼雅啓,國頭亮太,元木麗
埼玉上尾メディックス,0,0,16,14,26,,,56,104,39,6,37.5,13.00,7,2,0,28.6,2,0.67,57,0,5,13,3.5,68,43.0,4.0,66.2,4.0,15,日立Astemoリヴァーレ,3,3,25,25,28,,,78,107,52,5,48.6,17.33,11,6,1,54.5,8,2.67,77,3,9,18,6.8,52,36.0,3.0,72.1,1.0,15,335,2022/11/20,京都府,京都市体育館,587,13:00,14:38,1:38,小野将人,國頭亮太,長崎有紗,三瀧翔平
日立Astemoリヴァーレ,3,3,25,25,28,,,78,107,52,5,48.6,17.33,11,6,1,54.5,8,2.67,77,3,9,18,6.8,52,36.0,3.0,72.1,1.0,15,埼玉上尾メディックス,0,0,16,14,26,,,56,104,39,6,37.5,13.00,7,2,0,28.6,2,0.67,57,0,5,13,3.5,68,43.0,4.0,66.2,4.0,15,335,2022/11/20,京都府,京都市体育館,587,13:00,14:38,1:38,小野将人,國頭亮太,長崎有紗,三瀧翔平
岡山シーガルズ,3,3,25,25,25,,,75,118,49,7,41.5,16.33,6,0,0,0.0,8,2.67,73,5,8,12,8.2,55,30.0,11.0,64.5,1.0,13,PFUブルーキャッツ,0,0,16,22,19,,,57,113,37,7,32.7,12.33,8,0,1,0.0,3,1.00,59,1,3,14,6.4,63,34.0,14.0,65.1,3.0,16,330,2022/11/19,岡山県,山陽ふれあい公園総合体育館,720,13:34,14:56,1:22,塚本健,戸川太輔,上村英紀,金谷基代
PFUブルーキャッツ,0,0,16,22,19,,,57,113,37,7,32.7,12.33,8,0,1,0.0,3,1.00,59,1,3,14,6.4,63,34.0,14.0,65.1,3.0,16,岡山シーガルズ,3,3,25,25,25,,,75,118,49,7,41.5,16.33,6,0,0,0.0,8,2.67,73,5,8,12,8.2,55,30.0,11.0,64.5,1.0,13,330,2022/11/19,岡山県,山陽ふれあい公園総合体育館,720,13:34,14:56,1:22,塚本健,戸川太輔,上村英紀,金谷基代
岡山シーガルズ,2,1,25,25,19,21,12,102,170,64,7,37.6,12.80,3,0,0,0.0,10,2.00,103,2,9,20,4.6,92,39.0,24.0,55.4,5.0,26,PFUブルーキャッツ,3,2,23,21,25,25,15,109,179,75,8,41.9,15.00,11,7,1,63.6,8,1.60,108,5,15,25,6.9,93,37.0,35.0,58.6,3.0,21,336,2022/11/20,岡山県,山陽ふれあい公園総合体育館,700,13:30,15:50,2:20,塚本健,高橋宏明,上村英紀,大西英和
