,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
178,荒木彩花,久光スプリングス,320,57,233.0,117.0,19.0,50.2,2.05,0.0,0.0,0.0,,41.0,0.72,168.0,1.0,12.0,31.0,3.4,10.0,8.0,0.0,80.0,5706,22441.0,38.0,10.0,379.0,345.0,395.0,341.0,375.0,348.0,280.0,256.0,39.0,35.0,1468.0,1325.0,417.0,440.0,447.0,317.0,49.0,43,20,39.0,24.0,159.0,42.1,
179,菊池杏菜,KUROBEアクアフェアリーズ,85,47,8.0,1.0,0.0,12.5,0.02,0.0,0.0,0.0,,1.0,0.02,135.0,1.0,5.0,25.0,4.4,2.0,0.0,0.0,0.0,5899,14862.0,14.0,37.0,358.0,400.0,362.0,406.0,360.0,397.0,243.0,256.0,46.0,49.0,1369.0,1508.0,377.0,411.0,405.0,266.0,61.0,23,42,24.0,41.0,3.0,12.5,
180,藤井莉子,NECレッドロケッツ,152,5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2789,13188.0,11.0,13.0,168.0,192.0,191.0,180.0,174.0,175.0,91.0,80.0,23.0,31.0,647.0,658.0,174.0,190.0,180.0,73.0,36.0,13,17,15.0,15.0,0.0,,
181,藪田美穂子,トヨタ車体クインシーズ,238,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,4639,11750.0,21.0,21.0,311.0,346.0,280.0,322.0,323.0,328.0,248.0,219.0,45.0,34.0,1207.0,1249.0,379.0,356.0,386.0,268.0,54.0,27,29,15.0,41.0,0.0,,
182,西崎愛菜,JTマーヴェラス,220,53,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,14.0,0.0,1.0,3.0,3.6,182.0,76.0,55.0,56.9,7822,25597.0,50.0,16.0,541.0,449.0,525.0,476.0,535.0,462.0,279.0,291.0,124.0,123.0,2004.0,1801.0,550.0,594.0,604.0,333.0,158.0,60,28,45.0,43.0,0.0,,
183,西川吉野,東レアローズ,308,69,341.0,138.0,19.0,40.5,2.0,4.0,1.0,0.0,25.0,10.0,0.14,181.0,6.0,15.0,43.0,7.2,320.0,125.0,70.0,50.0,7822,25314.0,46.0,20.0,532.0,482.0,521.0,467.0,540.0,467.0,347.0,329.0,114.0,101.0,2054.0,1846.0,555.0,552.0,572.0,383.0,131.0,57,32,51.0,38.0,154.0,34.9,25.0
184,西川有喜,JTマーヴェラス,22,50,385.0,141.0,17.0,36.6,2.82,59.0,19.0,3.0,32.2,17.0,0.34,129.0,6.0,12.0,41.0,10.3,185.0,65.0,54.0,49.7,7822,25597.0,50.0,16.0,541.0,449.0,525.0,476.0,535.0,462.0,279.0,291.0,124.0,123.0,2004.0,1801.0,550.0,594.0,604.0,333.0,158.0,60,28,45.0,43.0,164.0,32.2,27.1
185,西村弥菜美,久光スプリングス,528,83,12.0,2.0,0.0,16.7,0.02,0.0,0.0,0.0,,0.0,0.0,36.0,2.0,2.0,13.0,13.2,190.0,127.0,27.0,73.9,7838,29526.0,43.0,23.0,519.0,468.0,527.0,482.0,501.0,487.0,385.0,372.0,54.0,47.0,1986.0,1856.0,561.0,604.0,611.0,450.0,65.0,53,34,48.0,39.0,4.0,16.7,
186,谷内美紅,PFUブルーキャッツ,26,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,755,1418.0,3.0,3.0,38.0,50.0,50.0,43.0,49.0,46.0,48.0,50.0,0.0,0.0,185.0,189.0,47.0,50.0,53.0,53.0,0.0,4,4,8.0,0.0,0.0,,
187,遠藤彩萌,岡山シーガルズ,195,33,150.0,40.0,2.0,26.7,1.21,3.0,2.0,0.0,66.7,1.0,0.03,68.0,1.0,3.0,12.0,4.8,79.0,29.0,19.0,48.7,5521,13673.0,14.0,31.0,330.0,355.0,322.0,362.0,350.0,356.0,231.0,242.0,51.0,54.0,1284.0,1369.0,380.0,403.0,410.0,270.0,72.0,23,37,33.0,27.0,42.0,25.3,66.7
188,野中瑠衣,日立Astemoリヴァーレ,286,70,293.0,107.0,15.0,36.5,1.53,23.0,8.0,1.0,34.8,10.0,0.14,165.0,6.0,14.0,47.0,8.6,223.0,99.0,53.0,56.3,7796,21217.0,29.0,37.0,491.0,509.0,493.0,494.0,496.0,505.0,280.0,285.0,75.0,64.0,1835.0,1857.0,546.0,578.0,575.0,330.0,91.0,39,45,36.0,48.0,123.0,31.4,30.4
189,野呂加南子,東レアローズ,242,45,191.0,78.0,8.0,40.8,1.73,2.0,0.0,0.0,0.0,4.0,0.09,92.0,2.0,4.0,19.0,6.2,186.0,73.0,44.0,51.1,7822,25314.0,46.0,20.0,532.0,482.0,521.0,467.0,540.0,467.0,347.0,329.0,114.0,101.0,2054.0,1846.0,555.0,552.0,572.0,383.0,131.0,57,32,51.0,38.0,84.0,36.6,0.0
190,野嶋華澄,NECレッドロケッツ,136,21,61.0,19.0,2.0,31.1,0.9,0.0,0.0,0.0,,3.0,0.14,61.0,2.0,2.0,19.0,10.2,1.0,1.0,0.0,100.0,5920,32777.0,37.0,14.0,411.0,388.0,403.0,360.0,419.0,412.0,239.0,208.0,37.0,41.0,1509.0,1409.0,413.0,406.0,462.0,232.0,50.0,41,23,48.0,16.0,24.0,27.9,
191,金田修佳,岡山シーガルズ,378,54,499.0,146.0,25.0,29.3,2.7,0.0,0.0,0.0,,15.0,0.28,100.0,1.0,4.0,21.0,5.2,125.0,68.0,31.0,66.8,7608,19650.0,18.0,45.0,475.0,482.0,445.0,505.0,475.0,500.0,300.0,342.0,63.0,69.0,1758.0,1898.0,533.0,556.0,575.0,374.0,92.0,31,52,53.0,30.0,162.0,24.2,
192,金田莉実,ヴィクトリーナ姫路,440,50,64.0,23.0,3.0,35.9,0.46,0.0,0.0,0.0,,7.0,0.14,110.0,4.0,9.0,34.0,9.3,177.0,73.0,39.0,52.3,7090,20357.0,11.0,49.0,427.0,468.0,439.0,466.0,394.0,484.0,248.0,272.0,61.0,83.0,1569.0,1773.0,521.0,539.0,523.0,316.0,92.0,20,56,29.0,47.0,34.0,31.2,
193,鍋谷友理枝,PFUブルーキャッツ,270,49,312.0,111.0,9.0,35.6,2.27,7.0,1.0,0.0,14.3,13.0,0.27,133.0,2.0,6.0,33.0,6.6,233.0,99.0,61.0,55.6,6311,12982.0,25.0,29.0,366.0,432.0,395.0,418.0,395.0,402.0,230.0,224.0,68.0,66.0,1454.0,1542.0,452.0,500.0,488.0,279.0,90.0,31,38,41.0,28.0,126.0,32.7,14.3
194,鎌田咲希,埼玉上尾メディックス,153,25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.0,0.0,3.0,10.7,0.0,0.0,0.0,,3337,5480.0,21.0,6.0,233.0,186.0,212.0,205.0,210.0,181.0,108.0,115.0,46.0,37.0,809.0,724.0,243.0,240.0,224.0,130.0,53.0,25,10,18.0,17.0,0.0,,
195,長内美和子,日立Astemoリヴァーレ,66,82,812.0,303.0,52.0,37.3,3.7,60.0,13.0,10.0,21.7,20.0,0.24,232.0,8.0,34.0,48.0,5.0,479.0,210.0,126.0,57.0,7796,21217.0,29.0,37.0,491.0,509.0,493.0,494.0,496.0,505.0,280.0,285.0,75.0,64.0,1835.0,1857.0,546.0,578.0,575.0,330.0,91.0,39,45,36.0,48.0,331.0,30.9,5.0
196,長岡望悠,久光スプリングス,18,39,164.0,71.0,10.0,43.3,1.82,19.0,7.0,3.0,36.8,8.0,0.21,36.0,2.0,4.0,2.0,4.2,2.0,2.0,0.0,100.0,6537,24914.0,31.0,23.0,419.0,392.0,429.0,390.0,418.0,403.0,303.0,303.0,54.0,47.0,1623.0,1535.0,455.0,490.0,510.0,356.0,65.0,41,31,48.0,24.0,81.0,37.2,21.1
197,長瀬そら,岡山シーガルズ,442,47,172.0,73.0,2.0,42.4,1.55,1.0,0.0,0.0,0.0,6.0,0.13,151.0,6.0,2.0,30.0,8.6,3.0,2.0,1.0,83.3,6193,16470.0,15.0,36.0,377.0,394.0,366.0,413.0,395.0,410.0,246.0,267.0,63.0,69.0,1447.0,1553.0,430.0,462.0,476.0,298.0,92.0,25,43,49.0,19.0,85.0,41.3,0.0
198,関菜々巳,東レアローズ,132,89,55.0,35.0,2.0,63.6,0.39,0.0,0.0,0.0,,9.0,0.1,308.0,14.0,25.0,68.0,8.0,4.0,0.0,2.0,25.0,7822,25314.0,46.0,20.0,532.0,482.0,521.0,467.0,540.0,467.0,347.0,329.0,114.0,101.0,2054.0,1846.0,555.0,552.0,572.0,383.0,131.0,57,32,51.0,38.0,58.0,60.0,
199,雑賀恵斗,日立Astemoリヴァーレ,44,80,44.0,20.0,2.0,45.5,0.25,0.0,0.0,0.0,,6.0,0.08,239.0,9.0,24.0,63.0,7.8,3.0,0.0,0.0,0.0,7796,21217.0,29.0,37.0,491.0,509.0,493.0,494.0,496.0,505.0,280.0,285.0,75.0,64.0,1835.0,1857.0,546.0,578.0,575.0,330.0,91.0,39,45,36.0,48.0,35.0,40.9,
200,青柳京古,埼玉上尾メディックス,220,64,283.0,128.0,8.0,45.2,2.0,0.0,0.0,0.0,,18.0,0.28,234.0,7.0,9.0,52.0,7.6,8.0,3.0,3.0,56.2,7094,19317.0,40.0,20.0,484.0,432.0,466.0,431.0,462.0,439.0,209.0,194.0,60.0,53.0,1681.0,1549.0,530.0,525.0,553.0,234.0,73.0,46,27,35.0,38.0,153.0,42.4,
201,高佐風梨,トヨタ車体クインシーズ,30,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,799,2161.0,3.0,3.0,45.0,47.0,46.0,41.0,49.0,47.0,0.0,0.0,0.0,0.0,140.0,135.0,50.0,53.0,52.0,0.0,0.0,3,3,0.0,6.0,0.0,,
202,高柳有里,岡山シーガルズ,180,63,362.0,92.0,11.0,25.4,1.46,2.0,0.0,0.0,0.0,9.0,0.14,119.0,3.0,1.0,28.0,8.2,263.0,124.0,57.0,58.0,7230,18445.0,18.0,42.0,461.0,457.0,423.0,480.0,446.0,469.0,300.0,342.0,63.0,69.0,1693.0,1817.0,514.0,528.0,541.0,374.0,92.0,31,49,50.0,30.0,104.0,22.4,0.0
203,高橋愛未,KUROBEアクアフェアリーズ,63,70,587.0,181.0,30.0,30.8,2.59,16.0,3.0,6.0,18.8,21.0,0.3,153.0,4.0,9.0,44.0,8.3,468.0,208.0,116.0,56.8,7438,17579.0,22.0,41.0,458.0,481.0,455.0,506.0,458.0,498.0,340.0,349.0,61.0,61.0,1772.0,1895.0,475.0,518.0,515.0,368.0,82.0,33,49,24.0,58.0,206.0,25.7,-18.8
204,高橋愛莉,デンソーエアリービーズ,154,23,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,26.0,1.0,2.0,4.0,5.8,15.0,6.0,5.0,56.7,7792,23599.0,28.0,38.0,498.0,523.0,510.0,523.0,528.0,513.0,297.0,300.0,55.0,71.0,1888.0,1930.0,561.0,605.0,636.0,345.0,79.0,37,47,41.0,43.0,1.0,,
205,高橋茉莉奈,JTマーヴェラス,308,46,96.0,37.0,5.0,38.5,0.8,0.0,0.0,0.0,,7.0,0.15,143.0,1.0,10.0,35.0,5.1,10.0,8.0,0.0,80.0,7822,25597.0,50.0,16.0,541.0,449.0,525.0,476.0,535.0,462.0,279.0,291.0,124.0,123.0,2004.0,1801.0,550.0,594.0,604.0,333.0,158.0,60,28,45.0,43.0,45.0,33.3,
206,高相みな実,PFUブルーキャッツ,104,18,102.0,29.0,3.0,28.4,1.61,6.0,4.0,0.0,66.7,3.0,0.17,34.0,0.0,7.0,10.0,2.2,73.0,26.0,28.0,54.8,4530,9894.0,19.0,20.0,291.0,319.0,292.0,291.0,295.0,310.0,228.0,234.0,39.0,42.0,1145.0,1196.0,336.0,352.0,355.0,273.0,56.0,25,27,32.0,20.0,32.0,25.5,66.7
207,高間来瞳,日立Astemoリヴァーレ,330,23,34.0,12.0,1.0,35.3,0.52,1.0,1.0,0.0,100.0,1.0,0.04,37.0,3.0,3.0,10.0,12.8,27.0,13.0,4.0,55.6,7796,21217.0,29.0,37.0,491.0,509.0,493.0,494.0,496.0,505.0,280.0,285.0,75.0,64.0,1835.0,1857.0,546.0,578.0,575.0,330.0,91.0,39,45,36.0,48.0,16.0,32.4,100.0
208,鴫原ひなた,トヨタ車体クインシーズ,22,87,645.0,218.0,44.0,33.8,2.51,30.0,7.0,3.0,23.3,16.0,0.18,388.0,23.0,36.0,121.0,11.4,564.0,256.0,135.0,57.4,7812,18413.0,30.0,36.0,500.0,543.0,449.0,509.0,494.0,515.0,358.0,337.0,74.0,59.0,1875.0,1963.0,592.0,577.0,591.0,404.0,91.0,40,47,31.0,56.0,257.0,27.0,13.3
209,麻野七奈未,デンソーエアリービーズ,506,55,143.0,52.0,11.0,36.4,0.95,0.0,0.0,0.0,,35.0,0.64,154.0,9.0,13.0,43.0,10.7,26.0,10.0,7.0,51.9,7792,23599.0,28.0,38.0,498.0,523.0,510.0,523.0,528.0,513.0,297.0,300.0,55.0,71.0,1888.0,1930.0,561.0,605.0,636.0,345.0,79.0,37,47,41.0,43.0,96.0,28.7,
210,黒後愛,東レアローズ,110,55,20.0,9.0,1.0,45.0,0.16,1.0,1.0,0.0,100.0,1.0,0.02,74.0,3.0,5.0,16.0,7.8,55.0,28.0,8.0,58.2,7822,25314.0,46.0,20.0,532.0,482.0,521.0,467.0,540.0,467.0,347.0,329.0,114.0,101.0,2054.0,1846.0,555.0,552.0,572.0,383.0,131.0,57,32,51.0,38.0,13.0,40.0,100.0
211,黒須咲良,トヨタ車体クインシーズ,144,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6178,14703.0,27.0,27.0,400.0,448.0,371.0,409.0,409.0,416.0,296.0,267.0,74.0,59.0,1550.0,1599.0,488.0,464.0,486.0,327.0,91.0,35,37,23.0,49.0,0.0,,
212,齋藤加奈子,日立Astemoリヴァーレ,154,82,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,386.0,186.0,100.0,61.1,7796,21217.0,29.0,37.0,491.0,509.0,493.0,494.0,496.0,505.0,280.0,285.0,75.0,64.0,1835.0,1857.0,546.0,578.0,575.0,330.0,91.0,39,45,36.0,48.0,0.0,,
