,Player,Team,Month,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
23,オズソイネリマン,デンソーエアリービーズ,3,31,4,54.0,17.0,3.0,31.5,4.25,18.0,5.0,2.0,27.8,0.0,0.0,15.0,0.0,0.0,6.0,10.0,4.0,1.0,1.0,37.5,452,737.0,3.0,0.0,23.0,25.0,25.0,23.0,27.0,25.0,25.0,18.0,0.0,0.0,100.0,91.0,28.0,29.0,29.0,25.0,0.0,3,1,4.0,0.0,17.0,25.9,16.7
24,オズソイネリマン,デンソーエアリービーズ,10,62,8,130.0,44.0,8.0,33.8,5.5,52.0,18.0,6.0,34.6,2.0,0.25,28.0,1.0,4.0,5.0,4.5,2.0,0.0,1.0,25.0,594,1999.0,1.0,5.0,40.0,48.0,38.0,50.0,48.0,46.0,22.0,25.0,8.0,15.0,156.0,184.0,49.0,51.0,57.0,31.0,15.0,2,6,0.0,8.0,47.0,27.7,23.1
25,オズソイネリマン,デンソーエアリービーズ,11,248,30,393.0,147.0,29.0,37.4,4.9,165.0,58.0,19.0,35.2,21.0,0.7,109.0,3.0,4.0,31.0,8.9,5.0,1.0,1.0,30.0,2593,9652.0,9.0,15.0,181.0,198.0,187.0,189.0,187.0,201.0,97.0,87.0,21.0,28.0,673.0,703.0,200.0,208.0,224.0,102.0,30.0,12,18,16.0,14.0,171.0,30.0,23.6
26,オズソイネリマン,デンソーエアリービーズ,12,62,9,149.0,49.0,15.0,32.9,5.44,62.0,19.0,7.0,30.6,5.0,0.56,29.0,0.0,0.0,5.0,4.3,0.0,0.0,0.0,,704,1376.0,1.0,5.0,50.0,43.0,47.0,42.0,48.0,54.0,35.0,50.0,11.0,15.0,191.0,204.0,51.0,51.0,61.0,48.0,17.0,3,6,9.0,0.0,54.0,22.8,19.4
27,カッティーノダニエル,トヨタ車体クインシーズ,1,72,31,444.0,191.0,42.0,43.0,6.16,135.0,59.0,20.0,43.7,18.0,0.58,81.0,3.0,9.0,17.0,6.2,1.0,0.0,0.0,0.0,3079,5824.0,12.0,12.0,181.0,200.0,163.0,181.0,174.0,187.0,115.0,114.0,29.0,25.0,662.0,707.0,216.0,212.0,211.0,133.0,37.0,15,16,16.0,15.0,212.0,33.6,28.9
28,カッティーノダニエル,トヨタ車体クインシーズ,2,54,22,292.0,117.0,25.0,40.1,5.32,103.0,38.0,17.0,36.9,10.0,0.45,55.0,1.0,12.0,11.0,1.4,3.0,2.0,1.0,83.3,2562,7630.0,3.0,15.0,137.0,141.0,110.0,146.0,116.0,147.0,91.0,101.0,0.0,0.0,454.0,535.0,147.0,145.0,148.0,116.0,0.0,6,16,7.0,15.0,128.0,31.5,20.4
29,カッティーノダニエル,トヨタ車体クインシーズ,3,9,3,47.0,17.0,4.0,36.2,5.67,8.0,3.0,1.0,37.5,3.0,1.0,6.0,0.0,0.0,3.0,12.5,0.0,0.0,0.0,,450,550.0,0.0,3.0,24.0,26.0,23.0,25.0,17.0,25.0,0.0,0.0,0.0,0.0,64.0,76.0,26.0,27.0,23.0,0.0,0.0,0,3,0.0,3.0,20.0,27.7,25.0
30,カッティーノダニエル,トヨタ車体クインシーズ,10,18,8,99.0,43.0,10.0,43.4,5.38,24.0,9.0,5.0,37.5,2.0,0.25,15.0,0.0,1.0,6.0,8.3,0.0,0.0,0.0,,598,2702.0,3.0,3.0,48.0,45.0,33.0,50.0,54.0,47.0,38.0,41.0,0.0,0.0,173.0,183.0,56.0,49.0,61.0,43.0,0.0,4,4,0.0,8.0,45.0,33.3,16.7
31,カッティーノダニエル,トヨタ車体クインシーズ,11,72,32,455.0,176.0,37.0,38.7,5.5,112.0,52.0,14.0,46.4,18.0,0.56,81.0,2.0,13.0,23.0,5.6,0.0,0.0,0.0,,2603,6061.0,10.0,14.0,183.0,201.0,170.0,181.0,172.0,182.0,135.0,122.0,30.0,23.0,690.0,709.0,222.0,212.0,206.0,153.0,37.0,14,18,15.0,17.0,196.0,30.5,33.9
32,カッティーノダニエル,トヨタ車体クインシーズ,12,18,9,124.0,43.0,15.0,34.7,4.78,35.0,9.0,8.0,25.7,8.0,0.89,25.0,1.0,3.0,9.0,10.0,0.0,0.0,0.0,,704,1376.0,5.0,1.0,43.0,50.0,42.0,47.0,54.0,48.0,50.0,35.0,15.0,11.0,204.0,191.0,51.0,51.0,61.0,48.0,17.0,6,3,0.0,9.0,52.0,22.6,2.9
