,Team,Month,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE,GameId,Spectators,TotalSet,Point,AEff%,BAEff%
10,KUROBEアクアフェアリーズ,11,8,4,158.0,160.0,167.0,93.0,38.0,616.0,1146.0,396.0,82.0,34.6,13.2,207.0,71.0,30.0,34.3,44.0,1.47,624.0,30.0,55.0,155.0,8.8,627.0,301.0,143.0,59.4,36.0,146,22,20,201.0,198.0,188.0,93.0,34.0,714.0,1131,456,53,327.6,122.22999999999999,123,41,9,69,18.740000000000002,706,16,76,171,46.0,561,250.0,135.0,451.4,17.0,173,2597,5613.0,30,470.0,27.4,19.8
11,KUROBEアクアフェアリーズ,12,2,0,50.0,44.0,37.0,39.0,0.0,170.0,324.0,116.0,32.0,35.8,14.5,50.0,16.0,7.0,32.0,9.0,1.12,172.0,10.0,19.0,45.0,9.6,175.0,47.0,55.0,42.6,1.0,35,6,6,46.0,50.0,50.0,50.0,0.0,196.0,299,118,11,79.1,29.5,29,13,2,17,4.25,194,9,18,65,21.4,150,54.0,44.0,101.3,6.0,52,714,3183.0,8,135.0,25.9,18.0
12,NECレッドロケッツ,1,19,14,191.0,186.0,204.0,180.0,46.0,807.0,1380.0,551.0,65.0,39.9,15.31,88.0,24.0,5.0,27.3,58.0,1.61,808.0,36.0,52.0,199.0,9.0,725.0,324.0,201.0,58.6,19.0,162,17,10,189.0,174.0,217.0,176.0,56.0,812.0,1390,570,70,328.4,126.65,128,57,12,85,18.95,811,21,77,188,48.1,743,318.0,204.0,452.8,15.0,136,3069,14826.0,36,645.0,35.2,21.6
13,NECレッドロケッツ,2,17,14,188.0,180.0,187.0,85.0,23.0,663.0,1259.0,477.0,63.0,37.9,15.9,98.0,23.0,15.0,23.5,47.0,1.57,664.0,19.0,55.0,151.0,6.5,575.0,262.0,171.0,60.4,18.0,120,13,10,177.0,157.0,178.0,86.0,31.0,629.0,1248,434,60,282.0,115.91,77,22,9,47,12.49,628,12,47,136,45.8,604,284.0,155.0,480.8,13.0,136,3401,11070.0,30,543.0,32.9,8.2
14,NECレッドロケッツ,3,21,21,164.0,174.0,176.0,75.0,0.0,589.0,965.0,407.0,45.0,42.2,16.96,86.0,28.0,7.0,32.6,49.0,2.04,579.0,20.0,43.0,181.0,9.4,471.0,181.0,117.0,50.8,12.0,113,3,0,153.0,147.0,147.0,62.0,0.0,509.0,961,360,60,262.1,104.58,67,22,7,33,9.16,519,16,38,168,63.5,528,230.0,107.0,372.4,15.0,100,3280,6518.0,24,476.0,37.5,24.4
15,NECレッドロケッツ,10,0,0,40.0,42.0,32.0,0.0,0.0,114.0,258.0,78.0,19.0,30.2,13.0,27.0,10.0,3.0,37.0,4.0,0.67,116.0,2.0,15.0,37.0,6.5,133.0,42.0,34.0,44.4,4.0,30,6,6,50.0,50.0,50.0,0.0,0.0,150.0,227,91,14,81.2,30.340000000000003,14,4,2,15,5.0,148,6,12,54,22.3,99,31.0,31.0,94.7,4.0,38,590,6432.0,6,84.0,22.9,25.9
16,NECレッドロケッツ,11,18,18,149.0,155.0,158.0,25.0,0.0,487.0,744.0,311.0,42.0,41.8,16.37,88.0,27.0,12.0,30.7,45.0,2.37,480.0,20.0,32.0,149.0,10.3,352.0,131.0,115.0,53.6,16.0,111,1,0,124.0,120.0,130.0,18.0,0.0,392.0,736,248,56,203.9,78.5,100,27,14,46,14.26,399,8,44,101,34.9,441,148.0,131.0,289.2,11.0,90,1952,10616.0,19,376.0,36.2,17.0
17,NECレッドロケッツ,12,6,6,46.0,50.0,50.0,50.0,0.0,196.0,299.0,118.0,11.0,39.5,14.75,29.0,13.0,2.0,44.8,17.0,2.12,194.0,9.0,18.0,65.0,10.7,150.0,54.0,44.0,50.7,6.0,52,2,0,50.0,44.0,37.0,39.0,0.0,170.0,324,116,32,72.0,29.0,50,16,7,9,2.25,172,10,19,45,19.1,175,47.0,55.0,85.19999999999999,1.0,35,714,3183.0,8,144.0,35.8,37.9
18,PFUブルーキャッツ,1,15,11,166.0,189.0,198.0,139.0,15.0,707.0,1220.0,467.0,61.0,38.3,15.06,101.0,39.0,11.0,38.6,92.0,2.97,709.0,17.0,86.0,135.0,4.1,669.0,313.0,168.0,59.3,13.0,131,16,13,193.0,182.0,194.0,153.0,8.0,730.0,1262,491,62,312.8,127.39,138,40,11,53,13.79,728,26,50,171,60.5,616,318.0,153.0,512.4,19.0,160,3069,6569.0,31,576.0,33.3,27.7
19,PFUブルーキャッツ,2,5,2,120.0,105.0,120.0,68.0,15.0,428.0,824.0,296.0,40.0,35.9,13.45,34.0,10.0,6.0,29.4,33.0,1.5,434.0,13.0,43.0,108.0,6.7,477.0,202.0,123.0,55.2,14.0,86,17,16,143.0,150.0,142.0,78.0,10.0,523.0,844,364,41,267.1,100.52000000000001,83,42,9,44,11.85,518,18,32,142,52.8,390,187.0,83.0,354.7,13.0,97,2564,7841.0,22,342.0,31.1,11.8
20,PFUブルーキャッツ,3,9,6,165.0,145.0,151.0,63.0,25.0,549.0,958.0,352.0,51.0,36.7,13.54,35.0,14.0,7.0,40.0,61.0,2.35,554.0,18.0,51.0,132.0,6.9,530.0,243.0,144.0,59.4,14.0,118,17,15,161.0,163.0,157.0,75.0,26.0,582.0,994,395,60,282.6,107.54,51,24,4,50,13.040000000000001,577,21,41,128,52.6,494,255.0,98.0,432.2,17.0,116,3261,6986.0,26,431.0,31.4,20.0
21,PFUブルーキャッツ,10,4,2,44.0,42.0,41.0,42.0,27.0,196.0,356.0,123.0,22.0,34.6,12.3,31.0,7.0,6.0,22.6,26.0,2.6,196.0,5.0,35.0,52.0,4.7,187.0,84.0,47.0,57.5,6.0,42,6,4,48.0,46.0,41.0,48.0,31.0,214.0,344,122,14,71.3,24.4,38,6,4,15,3.0,214,14,22,47,18.799999999999997,159,78.0,26.0,114.5,6.0,63,592,1280.0,10,154.0,28.4,3.2
22,PFUブルーキャッツ,11,14,12,178.0,174.0,179.0,95.0,26.0,652.0,1097.0,430.0,55.0,39.2,14.33,91.0,29.0,10.0,31.9,65.0,2.17,651.0,26.0,83.0,136.0,6.0,601.0,332.0,128.0,65.9,20.0,131,16,12,195.0,182.0,179.0,78.0,27.0,661.0,1085,411,55,305.7,111.75,92,34,6,67,18.02,662,25,54,123,52.0,559,278.0,128.0,508.70000000000005,22.0,158,2601,5417.0,30,521.0,34.2,20.9
23,PFUブルーキャッツ,12,3,3,34.0,44.0,39.0,25.0,0.0,142.0,266.0,91.0,11.0,34.2,13.0,19.0,6.0,2.0,31.6,16.0,2.29,142.0,1.0,18.0,33.0,3.3,143.0,39.0,45.0,43.0,5.0,34,4,3,50.0,47.0,45.0,20.0,0.0,162.0,274,105,15,78.6,30.42,26,16,2,17,4.83,162,6,18,54,18.0,124,54.0,36.0,121.69999999999999,1.0,34,708,1455.0,7,108.0,30.1,21.1
24,デンソーエアリービーズ,1,19,17,187.0,195.0,201.0,122.0,15.0,720.0,1313.0,491.0,70.0,37.4,16.37,201.0,69.0,17.0,34.3,79.0,2.63,716.0,27.0,42.0,161.0,7.9,608.0,320.0,146.0,64.6,23.0,123,11,7,184.0,192.0,162.0,113.0,13.0,664.0,1328,442,55,270.2,118.36,71,20,6,67,17.33,668,20,52,130,47.5,665,342.0,145.0,501.8,16.0,135,3069,8122.0,30,597.0,32.1,25.9
25,デンソーエアリービーズ,2,8,6,140.0,133.0,133.0,44.0,0.0,450.0,779.0,313.0,57.0,40.2,15.65,120.0,45.0,10.0,37.5,31.0,1.55,453.0,17.0,32.0,119.0,8.6,407.0,197.0,89.0,59.3,14.0,89,12,12,123.0,136.0,134.0,50.0,0.0,443.0,753,286,44,227.89999999999998,85.58,63,24,5,39,11.25,440,15,31,109,45.6,415,218.0,67.0,364.5,14.0,103,2566,7993.0,20,361.0,32.9,29.2
26,デンソーエアリービーズ,3,12,10,168.0,157.0,164.0,95.0,11.0,595.0,1094.0,420.0,67.0,38.4,16.15,139.0,50.0,18.0,36.0,48.0,1.85,596.0,19.0,43.0,168.0,8.4,546.0,227.0,126.0,53.1,14.0,108,14,11,169.0,167.0,167.0,89.0,15.0,607.0,1078,404,55,266.5,109.55000000000001,104,39,12,52,13.58,606,27,44,182,71.4,547,236.0,130.0,386.0,9.0,124,3264,7544.0,26,487.0,32.3,23.0
27,デンソーエアリービーズ,10,2,1,40.0,38.0,48.0,22.0,8.0,156.0,321.0,110.0,24.0,34.3,13.75,80.0,22.0,11.0,27.5,10.0,1.25,159.0,6.0,19.0,36.0,6.4,172.0,71.0,50.0,55.8,4.0,30,6,5,48.0,50.0,46.0,25.0,15.0,184.0,295,115,15,78.6,28.869999999999997,32,8,0,17,4.33,181,5,6,49,18.8,135,61.0,37.0,120.7,9.0,47,594,1999.0,8,126.0,26.8,13.8
28,デンソーエアリービーズ,11,12,9,181.0,187.0,187.0,97.0,21.0,673.0,1225.0,439.0,71.0,35.8,14.63,231.0,78.0,23.0,33.8,71.0,2.37,674.0,16.0,49.0,175.0,7.0,631.0,283.0,141.0,56.0,10.0,147,18,15,198.0,189.0,201.0,87.0,28.0,703.0,1218,464,69,305.5,126.56,164,47,21,81,21.7,702,28,60,190,69.9,621,287.0,147.0,461.3,18.0,130,2593,9652.0,30,526.0,30.0,23.8
29,デンソーエアリービーズ,12,3,1,50.0,47.0,48.0,35.0,11.0,191.0,357.0,120.0,29.0,33.6,13.33,72.0,21.0,8.0,29.2,18.0,2.0,191.0,6.0,14.0,56.0,8.6,184.0,66.0,45.0,48.1,2.0,47,6,5,43.0,42.0,54.0,50.0,15.0,204.0,347,126,27,73.3,28.4,45,12,9,24,5.25,204,9,18,65,20.3,177,72.0,44.0,105.6,2.0,45,704,1376.0,9,144.0,25.5,18.1
30,トヨタ車体クインシーズ,1,15,12,181.0,163.0,174.0,115.0,29.0,662.0,1121.0,432.0,77.0,38.5,13.94,156.0,67.0,20.0,42.9,64.0,2.06,664.0,26.0,54.0,171.0,8.3,640.0,283.0,156.0,56.4,12.0,140,16,12,200.0,181.0,187.0,114.0,25.0,707.0,1139,486,64,345.1,126.59,89,33,10,52,13.629999999999999,705,26,55,185,68.0,605,257.0,156.0,453.1,21.0,143,3079,5824.0,31,522.0,31.7,30.1
31,トヨタ車体クインシーズ,2,6,3,137.0,110.0,116.0,91.0,0.0,454.0,845.0,298.0,62.0,35.3,13.55,116.0,40.0,19.0,34.5,36.0,1.64,458.0,12.0,48.0,130.0,7.1,482.0,228.0,114.0,59.1,11.0,108,16,15,141.0,146.0,147.0,101.0,0.0,535.0,813,352,50,261.5,96.09,81,40,6,41,11.5,531,21,43,125,46.5,406,195.0,73.0,338.9,15.0,121,2562,7630.0,22,346.0,27.9,18.1
32,トヨタ車体クインシーズ,3,8,6,149.0,175.0,147.0,67.0,0.0,538.0,947.0,341.0,61.0,36.0,14.21,98.0,36.0,13.0,36.7,52.0,2.17,543.0,28.0,36.0,161.0,10.9,533.0,237.0,126.0,56.3,19.0,117,16,15,166.0,174.0,164.0,75.0,0.0,579.0,1010,398,67,274.9,115.09,87,34,8,54,15.58,574,11,35,165,53.800000000000004,495,180.0,139.0,362.0,15.0,116,3271,6393.0,24,421.0,29.6,23.5
33,トヨタ車体クインシーズ,10,4,3,48.0,33.0,54.0,38.0,0.0,173.0,263.0,107.0,21.0,40.7,13.38,37.0,10.0,7.0,27.0,12.0,1.5,173.0,11.0,10.0,57.0,13.2,160.0,67.0,21.0,48.4,5.0,43,4,3,45.0,50.0,47.0,41.0,0.0,183.0,270,128,20,94.9,32.0,23,9,2,14,3.5,183,5,21,69,18.5,162,67.0,28.0,100.0,2.0,36,598,2702.0,8,130.0,32.7,8.1
34,トヨタ車体クインシーズ,11,14,10,183.0,170.0,172.0,135.0,30.0,690.0,1196.0,430.0,94.0,36.0,13.44,146.0,60.0,21.0,41.1,82.0,2.56,692.0,24.0,66.0,191.0,8.0,630.0,234.0,178.0,51.3,23.0,154,18,14,201.0,181.0,182.0,122.0,23.0,709.0,1197,436,57,295.5,110.15,113,33,9,66,16.3,707,24,69,202,66.7,621,265.0,146.0,431.5,28.0,183,2603,6061.0,32,536.0,28.1,26.7
35,トヨタ車体クインシーズ,12,6,5,43.0,42.0,54.0,50.0,15.0,204.0,347.0,126.0,27.0,36.3,14.0,45.0,12.0,9.0,26.7,24.0,2.67,204.0,9.0,18.0,65.0,10.2,177.0,72.0,44.0,53.1,2.0,45,3,1,50.0,47.0,48.0,35.0,11.0,191.0,357,120,29,66.9,26.55,72,21,8,18,4.05,191,6,14,56,17.8,184,66.0,45.0,95.8,2.0,47,704,1376.0,9,159.0,28.5,6.7
36,ヴィクトリーナ姫路,1,8,5,184.0,180.0,139.0,92.0,17.0,612.0,1093.0,436.0,62.0,39.9,14.53,56.0,15.0,7.0,26.8,45.0,1.5,616.0,20.0,68.0,147.0,6.5,640.0,287.0,158.0,57.2,9.0,111,22,19,176.0,205.0,201.0,94.0,30.0,706.0,997,462,41,372.4,124.59,111,44,5,73,20.14,702,32,57,168,68.7,542,250.0,131.0,457.09999999999997,13.0,139,3069,6357.0,30,501.0,34.2,14.3
37,ヴィクトリーナ姫路,2,10,9,119.0,130.0,134.0,75.0,0.0,458.0,790.0,307.0,49.0,38.9,14.62,56.0,20.0,2.0,35.7,43.0,2.05,457.0,19.0,41.0,122.0,8.6,456.0,179.0,115.0,51.9,14.0,89,11,9,141.0,134.0,145.0,70.0,0.0,490.0,834,335,47,242.9,95.67,89,41,10,34,10.0,491,17,33,147,56.099999999999994,407,173.0,103.0,333.9,9.0,104,2571,8119.0,21,369.0,32.7,32.1
38,ヴィクトリーナ姫路,3,1,0,124.0,131.0,130.0,23.0,0.0,408.0,796.0,265.0,54.0,33.3,12.05,35.0,8.0,2.0,22.9,26.0,1.18,416.0,14.0,48.0,130.0,8.3,474.0,160.0,113.0,45.7,15.0,103,21,21,170.0,175.0,175.0,25.0,0.0,545.0,741,350,34,340.9,111.33,56,21,8,53,16.75,536,24,57,184,74.5,363,147.0,80.0,359.7,12.0,117,3287,7496.0,22,305.0,26.5,17.1
39,ヴィクトリーナ姫路,10,4,3,45.0,50.0,38.0,45.0,0.0,178.0,302.0,121.0,19.0,40.1,15.12,12.0,5.0,2.0,41.7,12.0,1.5,178.0,16.0,24.0,53.0,13.1,166.0,64.0,52.0,54.2,3.0,29,4,3,48.0,30.0,50.0,46.0,0.0,174.0,265,109,15,82.9,27.25,14,4,3,13,3.25,174,6,5,47,19.1,150,47.0,38.0,88.3,9.0,46,596,2170.0,8,149.0,33.8,25.0
40,ヴィクトリーナ姫路,11,8,3,165.0,176.0,173.0,111.0,44.0,669.0,1183.0,449.0,54.0,38.0,14.03,56.0,13.0,4.0,23.2,62.0,1.94,674.0,18.0,94.0,162.0,5.2,672.0,282.0,171.0,54.7,17.0,140,24,21,194.0,181.0,183.0,132.0,53.0,743.0,1162,491,67,342.5,125.19,111,45,13,59,15.75,738,28,58,200,70.3,576,259.0,142.0,453.7,15.0,165,2595,9007.0,32,529.0,33.4,16.1
41,ヴィクトリーナ姫路,12,0,0,36.0,44.0,28.0,0.0,0.0,108.0,208.0,77.0,13.0,37.0,12.83,12.0,3.0,1.0,25.0,8.0,1.33,110.0,5.0,10.0,28.0,8.6,140.0,50.0,28.0,45.7,5.0,18,6,6,50.0,52.0,50.0,0.0,0.0,152.0,214,105,7,98.6,35.0,16,10,1,12,4.0,150,7,8,57,25.7,97,49.0,18.0,119.4,3.0,28,712,2924.0,6,90.0,30.8,16.7
42,久光スプリングス,1,17,12,179.0,194.0,191.0,144.0,24.0,732.0,1254.0,506.0,79.0,40.4,15.33,92.0,29.0,12.0,31.5,73.0,2.21,731.0,20.0,60.0,139.0,5.4,661.0,333.0,156.0,62.2,15.0,133,16,12,186.0,182.0,167.0,159.0,24.0,718.0,1267,491,62,309.8,118.53,81,27,5,44,10.75,719,29,48,153,59.3,662,350.0,162.0,522.2,23.0,154,3089,13340.0,33,599.0,34.1,18.5
43,久光スプリングス,2,14,12,143.0,150.0,140.0,73.0,25.0,531.0,891.0,366.0,45.0,41.1,15.91,63.0,23.0,6.0,36.5,42.0,1.83,528.0,10.0,42.0,115.0,5.4,438.0,240.0,96.0,65.8,10.0,113,9,6,129.0,122.0,136.0,66.0,24.0,477.0,908,332,67,218.5,87.5,103,29,14,31,8.120000000000001,480,17,33,94,41.3,484,264.0,97.0,384.79999999999995,13.0,97,2574,7452.0,23,418.0,36.0,27.0
44,久光スプリングス,3,21,20,164.0,177.0,176.0,100.0,22.0,639.0,1011.0,432.0,52.0,42.7,16.62,56.0,21.0,5.0,37.5,61.0,2.35,632.0,18.0,52.0,152.0,6.8,516.0,264.0,105.0,61.3,13.0,128,5,1,167.0,141.0,150.0,76.0,20.0,554.0,1023,376,60,258.5,100.82,65,23,9,42,11.45,561,19,41,132,51.1,575,280.0,131.0,415.9,27.0,117,3263,8645.0,26,511.0,37.6,28.6
45,久光スプリングス,10,4,3,45.0,50.0,47.0,41.0,0.0,183.0,270.0,128.0,20.0,47.4,16.0,23.0,9.0,2.0,39.1,14.0,1.75,183.0,5.0,21.0,69.0,9.3,162.0,67.0,28.0,50.0,2.0,36,4,3,48.0,33.0,54.0,38.0,0.0,173.0,263,107,21,81.2,26.75,37,10,7,12,3.0,173,11,10,57,26.5,160,67.0,21.0,97.1,5.0,43,598,2702.0,8,147.0,40.0,30.4
46,久光スプリングス,11,22,19,195.0,186.0,168.0,155.0,30.0,734.0,1246.0,501.0,69.0,40.2,15.66,95.0,40.0,10.0,42.1,59.0,1.84,728.0,20.0,66.0,167.0,6.2,611.0,310.0,122.0,60.7,20.0,154,10,5,160.0,180.0,183.0,129.0,23.0,675.0,1264,449,61,287.1,112.42,107,48,8,41,10.06,681,30,63,157,63.5,654,345.0,130.0,499.9,30.0,155,2611,9579.0,32,580.0,34.7,31.6
47,久光スプリングス,12,4,3,50.0,47.0,45.0,20.0,0.0,162.0,274.0,105.0,15.0,38.3,15.0,26.0,16.0,2.0,61.5,17.0,2.43,162.0,6.0,18.0,54.0,9.3,124.0,54.0,36.0,58.1,1.0,34,3,3,34.0,44.0,39.0,25.0,0.0,142.0,266,91,11,67.4,25.5,19,6,2,16,4.33,142,1,18,33,5.3,143,39.0,45.0,87.69999999999999,5.0,34,708,1455.0,7,128.0,32.8,53.8
48,埼玉上尾メディックス,1,13,11,147.0,141.0,143.0,74.0,16.0,521.0,941.0,344.0,35.0,36.6,15.64,68.0,20.0,8.0,29.4,40.0,1.82,520.0,17.0,29.0,129.0,8.1,435.0,213.0,108.0,61.4,19.0,120,9,7,135.0,127.0,137.0,66.0,14.0,479.0,947,324,70,204.8,88.85,127,44,16,58,16.15,480,14,41,105,35.7,486,206.0,139.0,344.3,9.0,83,2345,5056.0,22,401.0,32.8,17.6
49,埼玉上尾メディックス,2,18,18,174.0,169.0,171.0,25.0,0.0,539.0,905.0,349.0,36.0,38.6,15.86,72.0,31.0,2.0,43.1,57.0,2.59,530.0,17.0,36.0,116.0,7.0,424.0,223.0,100.0,64.4,21.0,116,4,3,147.0,154.0,136.0,20.0,0.0,457.0,943,311,55,231.2,99.0,100,27,9,40,12.66,466,13,40,90,38.2,489,257.0,104.0,443.6,21.0,93,2931,5588.0,22,423.0,34.6,40.3
50,埼玉上尾メディックス,3,20,18,196.0,191.0,199.0,93.0,35.0,714.0,1151.0,476.0,53.0,41.4,15.87,97.0,45.0,4.0,46.4,65.0,2.17,711.0,26.0,42.0,186.0,8.7,576.0,270.0,134.0,58.5,19.0,147,10,6,162.0,169.0,175.0,91.0,34.0,631.0,1191,446,72,296.2,116.42999999999999,108,36,9,51,13.61,634,20,53,157,56.9,658,308.0,149.0,458.8,22.0,114,3645,9849.0,30,567.0,36.8,42.3
51,埼玉上尾メディックス,10,6,6,50.0,50.0,50.0,0.0,0.0,150.0,227.0,91.0,14.0,40.1,15.17,14.0,4.0,2.0,28.6,15.0,2.5,148.0,6.0,12.0,54.0,11.1,99.0,31.0,31.0,47.0,4.0,38,0,0,40.0,42.0,32.0,0.0,0.0,114.0,258,78,19,60.5,26.0,27,10,3,4,1.34,116,2,15,37,12.9,133,42.0,34.0,88.69999999999999,4.0,30,590,6432.0,6,112.0,33.9,14.3
52,埼玉上尾メディックス,11,17,15,184.0,179.0,182.0,75.0,29.0,649.0,1034.0,422.0,45.0,40.8,14.55,96.0,37.0,3.0,38.5,59.0,2.03,649.0,23.0,40.0,153.0,7.9,525.0,299.0,90.0,65.5,22.0,145,12,9,168.0,159.0,182.0,58.0,26.0,593.0,1084,412,57,309.5,115.0,97,35,11,60,16.52,593,14,64,126,36.3,602,326.0,107.0,508.3,24.0,107,2599,4939.0,29,504.0,36.5,35.4
53,埼玉上尾メディックス,12,4,2,53.0,50.0,37.0,35.0,15.0,190.0,337.0,121.0,20.0,35.9,13.44,18.0,5.0,3.0,27.8,18.0,2.0,191.0,8.0,14.0,35.0,6.9,188.0,85.0,53.0,59.3,7.0,43,5,4,49.0,50.0,50.0,50.0,13.0,212.0,343,148,17,86.6,33.2,33,11,5,19,4.05,211,4,22,47,9.7,175,79.0,55.0,120.5,4.0,41,710,1600.0,9,147.0,30.0,11.1
54,岡山シーガルズ,1,13,7,174.0,187.0,190.0,146.0,40.0,737.0,1442.0,500.0,62.0,34.7,14.71,25.0,8.0,4.0,32.0,77.0,2.26,740.0,21.0,46.0,139.0,6.0,717.0,313.0,173.0,55.7,17.0,139,21,17,198.0,194.0,205.0,147.0,39.0,783.0,1454,571,59,320.5,135.63,150,57,9,65,15.780000000000001,779,22,56,215,64.0,688,322.0,213.0,492.5,24.0,125,3085,7581.0,34,598.0,30.4,16.0
