,Player,Team,No.,PlaySet,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,WinPoint,OpWinPoint,1setPoint,Op1setPoint,2setPoint,Op2setPoint,3setPoint,Op3setPoint,4setPoint,Op4setPoint,5setPoint,Op5setPoint,TotalPoint,OpTotalPoint,1setTime,2setTime,3setTime,4setTime,5setTime,GetSet,LostSet,TotalSet,Set,Point,AEff%,BAEff%
10,中田紫乃,東レアローズ,6,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,1.0,3.0,8.3,0.0,0.0,0.0,,1473,5329.0,6.0,3.0,65.0,66.0,71.0,69.0,73.0,55.0,0.0,0.0,0.0,0.0,209.0,190.0,71,80,73,0.0,0.0,6,3,9.0,0.0,0.0,,
11,井上琴絵,NECレッドロケッツ,60,4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,1.0,2.0,4.2,1.0,0.0,1.0,50.0,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,0.0,,
12,井上美咲,久光スプリングス,6,10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,20.0,1.0,0.0,6.0,12.5,0.0,0.0,0.0,,1475,5491.0,4.0,5.0,63.0,57.0,70.0,71.0,73.0,68.0,24.0,26.0,8.0,15.0,238.0,237.0,65,84,84,29.0,19.0,5,6,3.0,8.0,1.0,,
13,仁井田桃子,埼玉上尾メディックス,57,12,17.0,6.0,0.0,35.3,0.5,0.0,0.0,0.0,,1.0,0.08,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,50.0,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,7.0,35.3,
14,佐々木海空,埼玉上尾メディックス,48,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,0.0,,
15,佐藤優花,埼玉上尾メディックス,30,12,138.0,44.0,5.0,31.9,3.67,13.0,5.0,0.0,38.5,2.0,0.17,47.0,3.0,3.0,9.0,9.6,38.0,8.0,9.0,32.9,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,49.0,28.3,38.5
16,内瀬戸真実,埼玉上尾メディックス,27,12,67.0,21.0,4.0,31.3,1.75,0.0,0.0,0.0,,2.0,0.17,39.0,1.0,2.0,8.0,6.4,42.0,29.0,9.0,79.8,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,24.0,25.4,
17,古谷ちなみ,NECレッドロケッツ,33,1,3.0,1.0,1.0,33.3,1.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.0,2.0,1.0,-8.3,1.0,0.0,0.0,0.0,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,1.0,0.0,
18,古賀紗理那,NECレッドロケッツ,6,10,115.0,47.0,9.0,40.9,4.7,15.0,5.0,2.0,33.3,6.0,0.6,37.0,1.0,2.0,15.0,11.5,51.0,18.0,18.0,52.9,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,54.0,33.0,20.0
19,塚田しおり,NECレッドロケッツ,9,3,1.0,1.0,0.0,100.0,0.33,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,1.0,100.0,
20,大崎琴未,東レアローズ,36,9,18.0,9.0,1.0,50.0,1.0,0.0,0.0,0.0,,10.0,1.11,21.0,0.0,1.0,8.0,8.3,2.0,1.0,1.0,75.0,1473,5329.0,6.0,3.0,65.0,66.0,71.0,69.0,73.0,55.0,0.0,0.0,0.0,0.0,209.0,190.0,71,80,73,0.0,0.0,6,3,9.0,0.0,19.0,44.4,
21,大竹里歩,久光スプリングス,30,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1475,5491.0,4.0,5.0,63.0,57.0,70.0,71.0,73.0,68.0,24.0,26.0,8.0,15.0,238.0,237.0,65,84,84,29.0,19.0,5,6,3.0,8.0,0.0,,
22,小島満菜美,NECレッドロケッツ,48,10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,37.0,13.0,17.0,58.1,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,0.0,,
23,小川愛里奈,東レアローズ,12,9,37.0,17.0,2.0,45.9,1.89,0.0,0.0,0.0,,3.0,0.33,30.0,0.0,4.0,6.0,1.7,7.0,5.0,2.0,85.7,1473,5329.0,6.0,3.0,65.0,66.0,71.0,69.0,73.0,55.0,0.0,0.0,0.0,0.0,209.0,190.0,71,80,73,0.0,0.0,6,3,9.0,0.0,20.0,40.5,
24,山中宏予,埼玉上尾メディックス,3,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,0.0,,
25,山内美咲,NECレッドロケッツ,36,10,74.0,29.0,1.0,39.2,2.9,7.0,3.0,0.0,42.9,1.0,0.1,44.0,2.0,1.0,10.0,9.7,19.0,5.0,9.0,50.0,1475,5489.0,6.0,3.0,68.0,56.0,69.0,61.0,61.0,73.0,25.0,23.0,0.0,0.0,223.0,213.0,70,77,78,29.0,0.0,6,4,0.0,10.0,32.0,37.8,42.9
26,山岸あかね,埼玉上尾メディックス,21,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,82.0,42.0,14.0,59.8,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,0.0,,
27,山崎のの花,埼玉上尾メディックス,15,12,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1475,5711.0,2.0,7.0,58.0,75.0,68.0,77.0,57.0,68.0,49.0,49.0,15.0,8.0,247.0,277.0,74,85,75,58.0,19.0,4,8,9.0,3.0,0.0,,
