Team,GetSet,GetPoint,1SetPoint,2SetPoint,3SetPoint,4SetPoint,5SetPoint,TotalPoint,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,TF,OpE,OpTeam,LostSet,LostPoint,Op1SetPoint,Op2SetPoint,Op3SetPoint,Op4SetPoint,Op5SetPoint,OpTotalPoint,OpAA,OpAP,OpAE,OpASucc%,OpAP/S,OpBAA,OpBAP,OpBAE,OpBASucc%,OpBP,OpBP/S,OpSVA,OpSVP,OpSVE,OpSVx,OpSVEff%,OpRA,OpRx,OpRg,OpRSucc%,OpTF,OpOpE
KUROBEアクアフェアリーズ,0,0,18,15,25,,,58,129,49,7,38.0,16.33,12,5,2,41.7,1,0.33,60,2,5,12,6.2,70,46.0,6.0,70.0,2.0,6,岡山シーガルズ,3,3,25,25,27,,,77,122,59,2,48.4,19.67,1,0,0,0.0,2,0.67,75,2,4,18,7.3,55,36.0,7.0,71.8,0.0,14
岡山シーガルズ,3,3,25,25,27,,,77,122,59,2,48.4,19.67,1,0,0,0.0,2,0.67,75,2,4,18,7.3,55,36.0,7.0,71.8,0.0,14,KUROBEアクアフェアリーズ,0,0,18,15,25,,,58,129,49,7,38.0,16.33,12,5,2,41.7,1,0.33,60,2,5,12,6.2,70,46.0,6.0,70.0,2.0,6
東レアローズ,2,1,25,25,18,16,11,95,176,58,10,33.0,11.60,17,7,3,41.2,9,1.80,95,5,6,26,10.5,96,54.0,15.0,64.1,4.0,23,NECレッドロケッツ,3,2,21,22,25,25,15,108,180,73,10,40.6,14.60,11,2,4,18.2,11,2.20,108,4,11,27,7.4,87,45.0,16.0,60.9,2.0,20
NECレッドロケッツ,3,2,21,22,25,25,15,108,180,73,10,40.6,14.60,11,2,4,18.2,11,2.20,108,4,11,27,7.4,87,45.0,16.0,60.9,2.0,20,東レアローズ,2,1,25,25,18,16,11,95,176,58,10,33.0,11.60,17,7,3,41.2,9,1.80,95,5,6,26,10.5,96,54.0,15.0,64.1,4.0,23
KUROBEアクアフェアリーズ,0,0,21,13,20,,,54,127,45,6,35.4,15.00,10,3,2,30.0,5,1.67,56,0,2,9,3.1,73,39.0,16.0,64.4,5.0,4,岡山シーガルズ,3,3,25,25,25,,,75,116,53,3,45.7,17.67,0,0,0,-,9,3.00,73,0,0,18,6.2,54,32.0,13.0,71.3,1.0,13
岡山シーガルズ,3,3,25,25,25,,,75,116,53,3,45.7,17.67,0,0,0,-,9,3.00,73,0,0,18,6.2,54,32.0,13.0,71.3,1.0,13,KUROBEアクアフェアリーズ,0,0,21,13,20,,,54,127,45,6,35.4,15.00,10,3,2,30.0,5,1.67,56,0,2,9,3.1,73,39.0,16.0,64.4,5.0,4
東レアローズ,3,3,25,25,20,25,,95,168,69,7,41.1,17.25,14,6,1,42.9,2,0.50,94,4,6,25,9.3,85,42.0,21.0,61.8,6.0,20,NECレッドロケッツ,1,0,22,23,25,22,,92,160,56,10,35.0,14.00,19,7,2,36.8,12,3.00,93,5,6,22,9.7,86,40.0,21.0,58.7,4.0,19
NECレッドロケッツ,1,0,22,23,25,22,,92,160,56,10,35.0,14.00,19,7,2,36.8,12,3.00,93,5,6,22,9.7,86,40.0,21.0,58.7,4.0,19,東レアローズ,3,3,25,25,20,25,,95,168,69,7,41.1,17.25,14,6,1,42.9,2,0.50,94,4,6,25,9.3,85,42.0,21.0,61.8,6.0,20
PFUブルーキャッツ,3,3,25,25,25,,,75,107,45,3,42.1,15.00,11,6,0,54.5,7,2.33,73,6,5,22,14.0,45,23.0,12.0,64.4,1.0,17,トヨタ車体クインシーズ,0,0,13,21,16,,,50,111,36,8,32.4,12.00,15,2,2,13.3,2,0.67,52,3,5,10,8.2,66,28.0,16.0,54.5,4.0,9
トヨタ車体クインシーズ,0,0,13,21,16,,,50,111,36,8,32.4,12.00,15,2,2,13.3,2,0.67,52,3,5,10,8.2,66,28.0,16.0,54.5,4.0,9,PFUブルーキャッツ,3,3,25,25,25,,,75,107,45,3,42.1,15.00,11,6,0,54.5,7,2.33,73,6,5,22,14.0,45,23.0,12.0,64.4,1.0,17
PFUブルーキャッツ,3,3,17,25,25,25,,92,131,56,7,42.7,14.00,14,6,1,42.9,10,2.50,91,5,7,27,11.0,68,37.0,12.0,63.2,2.0,21,トヨタ車体クインシーズ,1,0,25,18,16,18,,77,135,51,12,37.8,12.75,19,9,2,47.4,6,1.50,78,4,7,19,9.0,81,43.0,11.0,59.9,2.0,16
トヨタ車体クインシーズ,1,0,25,18,16,18,,77,135,51,12,37.8,12.75,19,9,2,47.4,6,1.50,78,4,7,19,9.0,81,43.0,11.0,59.9,2.0,16,PFUブルーキャッツ,3,3,17,25,25,25,,92,131,56,7,42.7,14.00,14,6,1,42.9,10,2.50,91,5,7,27,11.0,68,37.0,12.0,63.2,2.0,21
埼玉上尾メディックス,1,0,21,26,25,23,,95,186,63,11,33.9,15.75,25,6,2,24.0,8,2.00,96,4,8,16,6.2,83,57.0,14.0,77.1,2.0,20,JTマーヴェラス,3,3,25,28,17,25,,95,186,65,7,34.9,16.25,20,7,2,35.0,6,1.50,94,3,10,12,3.7,88,62.0,10.0,76.1,3.0,21
JTマーヴェラス,3,3,25,28,17,25,,95,186,65,7,34.9,16.25,20,7,2,35.0,6,1.50,94,3,10,12,3.7,88,62.0,10.0,76.1,3.0,21,埼玉上尾メディックス,1,0,21,26,25,23,,95,186,63,11,33.9,15.75,25,6,2,24.0,8,2.00,96,4,8,16,6.2,83,57.0,14.0,77.1,2.0,20
埼玉上尾メディックス,0,0,23,18,20,,,61,138,38,9,27.5,12.67,10,2,2,20.0,5,1.67,62,2,5,12,6.0,66,43.0,6.0,69.7,2.0,16,JTマーヴェラス,3,3,25,25,25,,,75,129,49,6,38.0,16.33,33,11,3,33.3,8,2.67,74,2,7,16,5.7,57,35.0,10.0,70.2,3.0,16
JTマーヴェラス,3,3,25,25,25,,,75,129,49,6,38.0,16.33,33,11,3,33.3,8,2.67,74,2,7,16,5.7,57,35.0,10.0,70.2,3.0,16,埼玉上尾メディックス,0,0,23,18,20,,,61,138,38,9,27.5,12.67,10,2,2,20.0,5,1.67,62,2,5,12,6.0,66,43.0,6.0,69.7,2.0,16
日立Astemoリヴァーレ,2,1,25,25,23,23,11,107,201,76,12,37.8,15.20,8,4,1,50.0,11,2.20,108,5,5,47,14.4,90,37.0,17.0,50.6,4.0,15,ヴィクトリーナ姫路,3,2,17,20,25,25,15,102,214,73,2,34.1,14.60,6,1,0,16.7,3,0.60,101,5,9,36,11.6,102,35.0,20.0,44.1,4.0,21
ヴィクトリーナ姫路,3,2,17,20,25,25,15,102,214,73,2,34.1,14.60,6,1,0,16.7,3,0.60,101,5,9,36,11.6,102,35.0,20.0,44.1,4.0,21,日立Astemoリヴァーレ,2,1,25,25,23,23,11,107,201,76,12,37.8,15.20,8,4,1,50.0,11,2.20,108,5,5,47,14.4,90,37.0,17.0,50.6,4.0,15
日立Astemoリヴァーレ,3,2,25,22,23,27,16,113,183,85,8,46.4,17.00,30,10,4,33.3,8,1.60,113,4,8,25,7.3,98,38.0,14.0,45.9,5.0,16,ヴィクトリーナ姫路,2,1,19,25,25,25,14,108,189,74,7,39.2,14.80,14,5,0,35.7,8,1.60,108,5,9,46,13.2,103,44.0,34.0,59.2,0.0,21
ヴィクトリーナ姫路,2,1,19,25,25,25,14,108,189,74,7,39.2,14.80,14,5,0,35.7,8,1.60,108,5,9,46,13.2,103,44.0,34.0,59.2,0.0,21,日立Astemoリヴァーレ,3,2,25,22,23,27,16,113,183,85,8,46.4,17.00,30,10,4,33.3,8,1.60,113,4,8,25,7.3,98,38.0,14.0,45.9,5.0,16
久光スプリングス,3,3,19,25,28,25,,97,200,66,11,33.0,16.50,15,2,1,13.3,10,2.50,96,2,6,26,7.3,89,42.0,17.0,56.7,1.0,19,デンソーエアリービーズ,1,0,25,22,26,21,,94,215,69,12,32.1,17.25,35,11,2,31.4,7,1.75,95,0,6,30,6.3,89,45.0,18.0,60.7,1.0,18
デンソーエアリービーズ,1,0,25,22,26,21,,94,215,69,12,32.1,17.25,35,11,2,31.4,7,1.75,95,0,6,30,6.3,89,45.0,18.0,60.7,1.0,18,久光スプリングス,3,3,19,25,28,25,,97,200,66,11,33.0,16.50,15,2,1,13.3,10,2.50,96,2,6,26,7.3,89,42.0,17.0,56.7,1.0,19
久光スプリングス,3,3,25,25,26,25,,101,166,64,9,38.6,16.00,8,1,1,12.5,8,2.00,100,7,8,31,12.8,75,28.0,31.0,58.0,2.0,22,デンソーエアリービーズ,1,0,10,21,28,22,,81,174,54,13,31.0,13.50,23,2,5,8.7,6,1.50,82,2,7,16,5.2,91,29.0,31.0,48.9,2.0,19
デンソーエアリービーズ,1,0,10,21,28,22,,81,174,54,13,31.0,13.50,23,2,5,8.7,6,1.50,82,2,7,16,5.2,91,29.0,31.0,48.9,2.0,19,久光スプリングス,3,3,25,25,26,25,,101,166,64,9,38.6,16.00,8,1,1,12.5,8,2.00,100,7,8,31,12.8,75,28.0,31.0,58.0,2.0,22
JTマーヴェラス,3,3,24,25,25,25,,99,162,64,10,39.5,16.00,25,13,0,52.0,11,2.75,98,4,4,44,14.3,76,26.0,13.0,42.8,7.0,20,KUROBEアクアフェアリーズ,1,0,26,22,15,19,,82,168,58,4,34.5,14.50,18,5,1,27.8,1,0.25,83,2,7,36,11.1,94,24.0,30.0,41.5,9.0,21
KUROBEアクアフェアリーズ,1,0,26,22,15,19,,82,168,58,4,34.5,14.50,18,5,1,27.8,1,0.25,83,2,7,36,11.1,94,24.0,30.0,41.5,9.0,21,JTマーヴェラス,3,3,24,25,25,25,,99,162,64,10,39.5,16.00,25,13,0,52.0,11,2.75,98,4,4,44,14.3,76,26.0,13.0,42.8,7.0,20
JTマーヴェラス,3,3,25,25,25,,,75,100,47,5,47.0,15.67,15,6,0,40.0,4,1.33,73,2,6,27,9.9,48,27.0,7.0,63.5,2.0,22,KUROBEアクアフェアリーズ,0,0,15,20,17,,,52,109,36,12,33.0,12.00,7,1,1,14.3,3,1.00,54,0,6,14,3.7,67,20.0,18.0,43.3,4.0,13
KUROBEアクアフェアリーズ,0,0,15,20,17,,,52,109,36,12,33.0,12.00,7,1,1,14.3,3,1.00,54,0,6,14,3.7,67,20.0,18.0,43.3,4.0,13,JTマーヴェラス,3,3,25,25,25,,,75,100,47,5,47.0,15.67,15,6,0,40.0,4,1.33,73,2,6,27,9.9,48,27.0,7.0,63.5,2.0,22
PFUブルーキャッツ,3,3,25,25,25,,,75,106,42,1,39.6,14.00,10,5,0,50.0,9,3.00,74,2,4,13,5.7,54,30.0,14.0,68.5,2.0,22,埼玉上尾メディックス,0,0,23,23,20,,,66,126,54,7,42.9,18.00,11,5,1,45.5,4,1.33,67,1,12,10,0.7,68,27.0,28.0,60.3,3.0,7
埼玉上尾メディックス,0,0,23,23,20,,,66,126,54,7,42.9,18.00,11,5,1,45.5,4,1.33,67,1,12,10,0.7,68,27.0,28.0,60.3,3.0,7,PFUブルーキャッツ,3,3,25,25,25,,,75,106,42,1,39.6,14.00,10,5,0,50.0,9,3.00,74,2,4,13,5.7,54,30.0,14.0,68.5,2.0,22
PFUブルーキャッツ,0,0,25,17,18,,,60,113,39,8,34.5,13.00,22,10,2,45.5,5,1.67,62,3,9,17,8.1,65,37.0,12.0,66.2,1.0,13,埼玉上尾メディックス,3,3,27,25,25,,,77,95,46,1,48.4,15.33,9,5,0,55.6,10,3.33,75,3,8,15,6.3,52,25.0,8.0,55.8,4.0,18
埼玉上尾メディックス,3,3,27,25,25,,,77,95,46,1,48.4,15.33,9,5,0,55.6,10,3.33,75,3,8,15,6.3,52,25.0,8.0,55.8,4.0,18,PFUブルーキャッツ,0,0,25,17,18,,,60,113,39,8,34.5,13.00,22,10,2,45.5,5,1.67,62,3,9,17,8.1,65,37.0,12.0,66.2,1.0,13
岡山シーガルズ,0,0,26,17,20,,,63,118,45,5,38.1,15.00,1,0,1,0.0,7,2.33,65,1,6,11,3.5,72,29.0,12.0,48.6,2.0,10,東レアローズ,3,3,28,25,25,,,78,122,54,4,44.3,18.00,12,8,1,66.7,8,2.67,76,3,4,28,11.8,59,35.0,12.0,69.5,2.0,13
東レアローズ,3,3,28,25,25,,,78,122,54,4,44.3,18.00,12,8,1,66.7,8,2.67,76,3,4,28,11.8,59,35.0,12.0,69.5,2.0,13,岡山シーガルズ,0,0,26,17,20,,,63,118,45,5,38.1,15.00,1,0,1,0.0,7,2.33,65,1,6,11,3.5,72,29.0,12.0,48.6,2.0,10
岡山シーガルズ,1,0,16,25,20,21,,82,148,54,5,36.5,13.50,0,0,0,-,4,1.00,83,0,6,18,3.6,84,42.0,20.0,61.9,3.0,24,東レアローズ,3,3,25,22,25,25,,97,160,72,7,45.0,18.00,6,0,0,0.0,8,2.00,96,3,11,20,5.5,77,29.0,30.0,57.1,6.0,14
東レアローズ,3,3,25,22,25,25,,97,160,72,7,45.0,18.00,6,0,0,0.0,8,2.00,96,3,11,20,5.5,77,29.0,30.0,57.1,6.0,14,岡山シーガルズ,1,0,16,25,20,21,,82,148,54,5,36.5,13.50,0,0,0,-,4,1.00,83,0,6,18,3.6,84,42.0,20.0,61.9,3.0,24
