,Player,Month,No.,Set,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,GameId,Spectators,AEff%,BAEff%
79,伊藤樹,12,12,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,331,2450,,
80,伊藤洸貴,10,44,12,0,0,0,,0.0,0,0,0,,2,0.04,30,0,6,3,-2.5,2,0,0,0.0,444,2516,,
81,伊藤洸貴,11,44,14,4,4,0,100.0,0.29,0,0,0,,7,0.1,31,1,6,8,4.8,1,0,0,0.0,566,4660,100.0,
82,伊藤洸貴,12,22,4,1,0,0,0.0,0.0,0,0,0,,0,0.0,12,0,4,4,0.0,0,0,0,,329,1588,0.0,
83,伊賀亮平,10,64,15,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,442,6906,,
84,伊賀亮平,11,112,27,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,101,57,29,70.8,988,12498,,
85,伊賀亮平,12,32,10,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,37,13,14,54.1,327,3348,,
86,伏見大和,10,4,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,116,3708,,
87,伏見大和,11,12,5,6,3,1,50.0,0.6,0,0,0,,3,0.23,7,0,0,2,7.1,1,1,0,100.0,428,4103,33.3,
88,佐藤謙次,10,24,5,13,6,1,46.2,1.2,0,0,0,,3,0.3,27,1,2,4,5.6,1,1,0,100.0,213,2055,38.5,
89,佐藤謙次,11,48,7,0,0,0,,0.0,0,0,0,,0,0.0,1,0,0,0,0.0,0,0,0,,599,6869,,
90,佐藤謙次,12,24,5,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,329,1588,,
91,備一真,10,48,13,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,47,36,6,83.0,444,4990,,
92,備一真,11,96,29,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,108,72,19,75.5,1107,7913,,
93,備一真,12,24,6,0,0,0,,0.0,0,0,0,,0,0.0,0,0,0,0,,25,20,1,82.0,331,2450,,
94,傳田亮太,10,44,13,34,19,0,55.9,1.46,0,0,0,,11,0.27,33,0,2,5,2.3,2,1,1,75.0,434,12823,55.9,
95,傳田亮太,11,88,23,46,28,0,60.9,1.22,0,0,0,,17,0.28,54,0,6,12,2.8,3,2,1,83.3,1108,9563,60.9,
96,傳田亮太,12,22,10,23,10,3,43.5,1.0,0,0,0,,6,0.12,21,0,4,4,0.0,1,0,1,50.0,327,3348,30.4,
97,兒玉康成,10,84,1,1,0,0,0.0,0.0,0,0,0,,0,0.0,0,0,0,0,,0,0,0,,442,6906,0.0,
98,兒玉康成,11,168,5,6,5,0,83.3,1.0,0,0,0,,0,0.0,14,0,1,1,0.0,0,0,0,,1118,14280,83.3,
99,兒玉康成,12,42,0,0,0,0,,,0,0,0,,0,,0,0,0,0,,0,0,0,,327,3348,,
100,出耒田敬,10,28,14,28,14,2,50.0,1.0,0,0,0,,4,0.1,32,1,2,6,6.2,3,2,1,83.3,442,5898,42.9,
101,出耒田敬,11,56,25,68,43,1,63.2,1.72,1,0,0,0.0,10,0.12,62,0,8,11,1.2,16,6,4,50.0,1121,7781,61.8,0.0
102,出耒田敬,12,14,9,25,13,0,52.0,1.44,0,0,0,,9,0.24,23,0,3,2,-1.1,2,1,0,50.0,325,1950,52.0,
103,前田一誠,10,20,2,0,0,0,,0.0,0,0,0,,0,0.0,2,0,0,0,0.0,0,0,0,,434,12823,,
104,前田一誠,11,40,7,0,0,0,,0.0,0,0,0,,0,0.0,13,0,0,5,9.6,0,0,0,,1108,9563,,
105,前田一誠,12,10,5,0,0,0,,0.0,0,0,0,,0,0.0,8,0,0,2,6.2,0,0,0,,327,3348,,
